original,original_token_count,compressed,compressed_token_count,uncompressed_alt_one,uncompressed_alt_two
What is Ford,3,,,,
"What marathon did the first woman officially finish, based on the paragraph.",15,,,,
Who is Ibrahima Tamba?,7,,,,
What should I check when planning a trip?,10,,,,
When was the first episode of Big Brother on CBS?,11,,,,
What is a Tide?,7,,,,
Is a hotdog a sandwich?,10,,,,
"From the passage provided, extract the year in which Elizabeth Taylor moved to Los Angeles",16,,,,
what is the meaning of life?,7,,,,
"Given this text, what are the oldest and newest major territories of the United States?",18,,,,
"Describe what your ideal pet cat would look like, and what you would name it.",18,,,,
Who are the last 10 Masters Champions?,8,,,,
How many soccer teams are in the English Premier League?,11,,,,
"Classify these animals as either mammals, reptiles, birds, or other: king cobra, honey badger, whale, black kite, salmon, and French poodle",39,,,,
In what city was the first season of MTV's The Real World filmed?,18,,,,
Why are some places in the world warmer than others?,11,,,,
Why do huskies howl?,9,,,,
Why are emotions important when day trading?,8,,,,
What is the list of top hybrid cars in the US market in 2023,15,,,,
"Identify which animal is domesticated or wild: Silkmoth, Roman snail",16,,,,
Imagine you're planning a ski trip with your friends. What are some good areas to go skiing?,22,,,,
Best sports in the world,5,,,,
"Rank these transportation mode with respect to their CO2 impact from largest to smallest: train, plane, car",23,,,,
What is Audemars Piguet Royal Oak ?,13,,,,
"Given a reference text about George Koukou, tell me when he was arrested and why.",21,,,,
How can I improve my table tennis skills?,9,,,,
What is a noun?,7,,,,
Give me a list of 3 good ways to gain weight.,13,,,,
What was Barthelemy Hus-Desforges famous for,14,,,,
What is an Edgeworth box in Economics?,9,,,,
How can I reduce my carbon footprint?,8,,,,
Which state in the United States the is best?,10,,,,
"Does Indermaur work as CTO, CEO, or CFO?",15,,,,
Who won the Golden Shoe Award for the season 2018-2019?,14,,,,
"Identify which instrument is string or percussion: Zatula, Jarana huasteca",22,,,,
What is the first evidence of a boomerang?,12,,,,
How do you start your child playing soccer?,9,,,,
What is the best-selling book of all time?,11,,,,
"Given this text, what is the third wealthiest state in the USA?",16,,,,
What is the difference between earphones and headphones?,12,,,,
Give me a comma separated list of nicknames given to Dan Campbell and who gave him the nickname,23,,,,
What is the minimum feature a cell phone should have to avoid addiction,14,,,,
"Identify which instrument is string or woodwind: Goje, Dizi",15,,,,
What is the difference between a coastal cruising and blue water sailboat?,16,,,,
"Given this paragraph about the Roman temple known as the Pantheon, tell me whether we definitively know why the temple was called the Pantheon.",31,,,,
How to find the area of a rectangle?,10,,,,
"Give me a list of the Adventure motorbikes that I can buy on my LAMS (Learner Approved Motorcycle Scheme) restriction, living in Australia",35,,,,
Which is a species of fish? Turbot or Turbo,12,,,,
From the passage identify the names of Zeus’s Roman counterpart. Display the results in a comma separated format.,27,,,,
Give me a list of the best movies that are sequels,13,,,,
What is Venture Capital?,5,,,,
What are the different air routes for traveling between Genova (GOA) and San Francisco (SFO) from fastest to longest?,27,,,,
I do not trust you,5,,,,
What nationality was Morse inventor of the famous code,12,,,,
Give me a bulleted list of different ways to get around a city without a car,21,,,,
Where did Father's Day originate?,8,,,,
"List the ten episode titles from the fourth season of ""Game of Thrones"" in broadcast order.",20,,,,
"Which of these items will be useful to pack when I’m getting ready for soccer practice: cleats, grass, guitar, water bottle, shin guards, helmet.",39,,,,
Is Leonidas from Sparta a real man? What was he famous for?,21,,,,
Who wrote Gone with the Wind,7,,,,
"From the passage provided, extract the sobriquets Tagore was known by. Separate them with a comma.",30,,,,
"Given a reference text about the Northern Colorado Bears, tell me the different conferences their teams compete in.",22,,,,
How many continents are there on Earth?,9,,,,
What are some common descriptive statistics?,7,,,,
Which building is the most higher?,7,,,,
What is the male population in Madaria?,9,,,,
"Tell me whether these are animals or apache projects or both:
Kudu, Impala, Alligator, Ant, Camel, Flink, Spark, Flume, Tomcat, Dog, Elephant",42,,,,
Is plastic bad for us?,7,,,,
A las vegas seven days trip itinerary including budget and activities for a group of 5 friends.,22,,,,
"Which characters belong to DC or Marvel Universe? Scarlet Witch, Zatanna",16,,,,
"Give a numbered list of instructions to set up a snowboard. The items I can use are a snowboard, snowboard bindings, a screwdriver, screws, and a measuring tape.",43,,,,
What fruit is wine produced from?,7,,,,
What are the primary grapes in a red Bordeaux?,12,,,,
What are some different types of salt?,8,,,,
Do you have an idea of why Graviton didn’t perform better?,16,,,,
"Given this paragraph about Corsica, when was Napoleon Bonaparte born and where?",19,,,,
What are the words of House Karstark?,10,,,,
How many angels can dance on the head of a pin?,14,,,,
"What is the movie ""Everything Everywhere All at Once"" about?",15,,,,
Why do people like cats?,6,,,,
"If you were a vegetable, what vegetable would you be?",13,,,,
"Identify which instrument is string or percussion: Stomp box, Gunjac",17,,,,
"Given this paragraph about the movie 'The Bridge on the River Kwai', why did the writers have to work in secret?",27,,,,
What is the largest fresh water lake?,8,,,,
Describe a tense scene of a dystopian future where a human in a laboratory is attempting to transform her body into a cyborg.,38,,,,
What are the lightweight weight requirements at the collegiate level in the United States?,16,,,,
Where is Stargate Command located in the Stargate universe.,12,,,,
"Based on the given text, do beavers eat wood or do they only chop down trees for dams?",24,,,,
What was the first full-length animated movie that Disney released?,13,,,,
"Identify which animal is domesticated or wild: Hedgehog, Sea-monkey",18,,,,
How do you play blackjack?,6,,,,
How is it that some high net-worth individuals are able to avoid paying taxes completely?,19,,,,
"Tell me whether these are songs or video games: Madden, Fifa, Gimme Shelter, Running on Empty, New York New York, Call of Duty Modern Warfare, Fortnite, Sunday Morning, Mario Kart, Wonderwall",53,,,,
"Which characters belong to DC or Marvel Universe? Vision, Red Tornado",14,,,,
How would you build a winning basketball team?,10,,,,
give me a list of all the ways a person can hydrate,15,,,,
Why do people like working from home?,8,,,,
What does a 9 carat gold mean,9,,,,
What are some of the uses of gilding metal?,14,,,,
"Given these paragraphs about the founding of Tesla, who else part from Elon Musk and J. B. Straubel are co-founders of Tesla?",33,,,,
"Identify which car manufacturer is Japanese or American: Honda, Buick",14,,,,
What is the First Amendment of the US constitution?,10,,,,
Who is Lewis Hamilton of Formula 1?,8,,,,
"Who was the first woman to win a Nobel Prize, and which prizes did she win?",19,,,,
"I've heard astronauts talk about the normalization of deviance and the risks therein.  What is the normalization of deviance, and how do I avoid it?",38,,,,
"Which characters belong to DC or Marvel Universe? Avengers, Justice League of America",15,,,,
Which is a species of fish? Loach or Poach,13,,,,
Should I buy an electric car?,7,,,,
"From the example given in this paragraph, what is an eigenvector?",17,,,,
How to make movies?,5,,,,
Which President of the US was less of a hawk than people supposed?,16,,,,
"From the given text, can you please extract all possible technical details of the aeroplane in the JSON format {key:value} where key is the attribute and value is the data for the attribute.",43,,,,
What are the different phases in systems development life cycle?,11,,,,
What are the three teams in the mobile game Pokemon Go?,12,,,,
when was the first digital electronic calculating machine developed?,11,,,,
What batting traits make a good baseball or softball hitter?,15,,,,
Can you give me some background on Perez v. Campbell,13,,,,
How many national championships has Nick Saban won at Alabama?,13,,,,
"Name a few famous Dutch artists, and the respective movements for which they are known.",18,,,,
"From the given text, Please list some points about The International School of Beijing",15,,,,
What is Ethiopia known for from agriculture perspective?,9,,,,
What is the history of Afrobeats?,10,,,,
What are the main cat personality types?,8,,,,
What Are Qualified Expenses for approved Use of 529 accounts?,17,,,,
Art Garfunkel initially declined to sing one of Simon & Garfunkel's biggest hits solo. Which song is it?,29,,,,
"Given this article about Operation Aurora, Which nation was beleived to be behund the attacks?",23,,,,
How can I make my bike more aerodynamic?,10,,,,
What group is known for introducing wine growing to California?,12,,,,
What would you do if you had all the resources in the world and nothing to worry about?,20,,,,
What's a gaya melon? How does it taste like?,17,,,,
"Identify which car manufacturer is British or American: Aston Martin, Cadillac",15,,,,
Who was Singhari Shyamasundar Kar,10,,,,
"Classify each of the following as either an insect or a worm: tequila worm, silk worm, glow worm, inchworms, earthworms, tapeworm, hookworm, liver fluke, threadworm",52,,,,
"Based on this paragraph, where was the The Ford Telstar sold?",14,,,,
"Classify the below companies based on their market capitalization into Small Cap and Large Cap.
Gravita, MapmyIndia, Airtel, Carysil",34,,,,
What are the top 5 television sitcoms of all time?,13,,,,
How many member states does the European Union have?,10,,,,
"Identify which instrument is string or percussion: Padayani thappu, Qanun",21,,,,
Why is Grand Canyon a big deal?,9,,,,
What is dry ice?,6,,,,
For whom was Harvard University named?,7,,,,
"Given a reference text about Wagyu, tell me the different types of cattle that are together known as wagyu.",28,,,,
Why are most plans green?,6,,,,
What was the record for University of Miami Hurricanes in 1980?,13,,,,
Who recieves a dowry?,12,,,,
is keto diet healthy?,5,,,,
Extract the total population and total area of California from the reference text,13,,,,
What is alexa?,6,,,,
What country is the newest member of NATO?,10,,,,
What is the difference between Columbia and Colombia.,9,,,,
What is Auto Loader?,7,,,,
What is Sci-fi fantasy?,8,,,,
Summarise the history of the origin of the Kievan Rus' name,17,,,,
Extract the names of the four Grand Slam tournaments and list them using bullets. Include the months of the year when each of the tournaments is generally played.,33,,,,
"Classify the countries based on their continents.
Ethiopia, Nigeria, Angola, India, China, Brazil, Mexico",26,,,,
Provide legal ways to pay less taxes in the USA.,11,,,,
Give me 5 strategies to receive a strong performance review,11,,,,
What is Oktoberfest,4,,,,
Who regulates companies in Australia?,7,,,,
How many James Bond movies did Daniel Craig star in?,11,,,,
"A square has angles of 30 degrees, 90 degrees and 150 degrees. What is the last angle in the square?",23,,,,
What are the advantages of a progressive consumption tax?,11,,,,
"Sort these into breakfast or dinner foods: Waffles, pancakes, turkey, chicken noodle soup, salad, bacon and eggs, egg drop soup",32,,,,
Imagine you are the CEO of Tiktok and have to give an argument in front of the Senate on why the US should not ban Tiktok.,33,,,,
Name the academic institutions which John Cena attended.,11,,,,
"classify the following spending items as either grocery, entertainment, food & drink, travel, bills: costco, netflix, uber, restaurant, rent, lyft",39,,,,
"Extract a list of notable dates and events in the mentioned text in the format, choosing the earliest year when the text provides a range of dates, and place them in a bullet list: {Year} - {Event}",53,,,,
Which F1 drivers race for Red Bull Racing in the 2023 season?,15,,,,
Where should I go on vacation?,7,,,,
Who won the 1988 Superbowl,7,,,,
What is lacrosse?,6,,,,
"Given this paragraph, how much control of the world's cocaine market did the Cali Cartel have at its peak?",25,,,,
Extract the 2021 Total Profit or Operating Income from the following text,13,,,,
When was hailstorm island first photographed given this text,10,,,,
Give me a list of the five most recent NBA champions.,14,,,,
"Which of the following items is the odd one out? Pacific, Atlantic, Baltic and Indian",18,,,,
Who was Edward Gramlich,5,,,,
What happens when you meditate?,6,,,,
Give me a list of the most agreed upon supplements that are effective for maintaining general health,18,,,,
What is the Oakland Ski Club?,7,,,,
"Identify which animal species is alive or extinct: Xenacanthus, Seal",20,,,,
How long do bears hibernate?,10,,,,
What form of government is the United Kingdom?,9,,,,
What is the standard loft of a pitching wedge in golf?,14,,,,
Please summarize Micky Mouse's initial licensing and merchandising history,16,,,,
What is Targetted Allele-Specific CRISPR/Cas9 Activation (TASCA)?,26,,,,
What is a lepton?,7,,,,
Can dogs look up?,5,,,,
Give me some great quotes about surviving in the wild.,12,,,,
What are the best camps ideas for kids?,9,,,,
Extract the total number of employees  in 2021 at Westpac Bank in Australia?,16,,,,
"if you have 2 ducks in front of a duck and 2 ducks behind a duck in a row, minimum how many ducks you have?",34,,,,
What are the main disadvantages of electric cars versus combustion engine vehicles?,15,,,,
Who developed calculus and when was it discovered?,10,,,,
Which is a species of fish? Pleco or Place,12,,,,
Is there any benefit to pain?,8,,,,
Who was the president of China before Xi?,11,,,,
What made C. Shannon Bacon famous,8,,,,
Write a concise and somewhat funny email about making a betting pool for the 2023 Masters golf tournament,21,,,,
"Identify which car manufacturer is Chinese or American: Dodge, Foton",14,,,,
Can you offer tips for visiting Mexico City for fun?,11,,,,
what is petrified wood,6,,,,
Give me a list of Indian dishes that I can make for a house party,17,,,,
What is the origin of the western numeral system?,11,,,,
"Given a reference text about the incudomalleolar joint, tell me its main function.",20,,,,
What is the size a tennis ball?,9,,,,
Where was the first ever India and USA armed forces Tri-Services Exercise Tiger Triumph help?,20,,,,
How long is a professional football field.,9,,,,
"Which of these are dog and which are birds: Phoenix, Siberian Husky, Alaskan Malamute, Hawk, Border Collie, Labrador,  Araucana",38,,,,
What is viscosity?,7,,,,
How does a paraglider work?,9,,,,
Classify each of these mammals as either marsupial or placental,16,,,,
What's Jiang's theoretical contribution?,10,,,,
What are some common ways to manage Type 1 Diabetes?,11,,,,
Why and how are people choosing to electrify their homes?,13,,,,
"are the following musical instruments or not?
typewriter
computer
guitar
violin
flute
bedsheets
bat
ball
piano
harmonium
tabla
blinds",27,,,,
What is an AVA when it comes to wine?,11,,,,
What is the “infield” in baseball?,10,,,,
"Which Philip K. Dick novel was the basis for the movie ""Blade Runner""?",19,,,,
Why do you love Biriyani?,9,,,,
"Classify each of the following as an electric or gas vehicle: Tesla Model Y, Kia Telluride, Lexus IS250, Mustang Mach-e, Chevy Bolt, Toyota Rav4",41,,,,
Why is the Alabama's football team called the Crimson Tide?,16,,,,
Please give me a short bulleted list of the most important facts about the country Norway,19,,,,
What is a nickname of Jiang Zemin,10,,,,
"Given the reference text below, what is Isthmohyla debilis?",20,,,,
"Given this reference text about cargo ships, when was the USS West Gate launched?",17,,,,
Who was the American president for the majority of WWII?,11,,,,
"In Frank Herbert's Dune novel, why is the spice valuable?",15,,,,
Why do people read books?,6,,,,
What is the largest amount of money in coins without being able to make change for a dollar?,21,,,,
"separate the following into chilldrens and adults cartoons.
recess
rugrats
big mouth
swat cats
inside job
popeyes
dexters lab
king of the hill
south park",42,,,,
Why do humans need to have friends?,8,,,,
Which Greek god is associated with the changing of the seasons?,12,,,,
"From the passage provided, what year did the Covenant attack?",12,,,,
"Make me a menu for a dinner party which will use up potatoes, cherry tomatoes, salmon and heavy cream I have that is about to expire. The menu should have three courses and a dessert, and shouldn't include eggs due to the current egg shortage. Describe the order in which each food would be served.",68,,,,
What are few different ways to describe the changing shape of the moon?,14,,,,
Name a song written by Hank Williams?,10,,,,
"From the passage provided, summarise the key phases of sunset.",15,,,,
What do you get by substituting the oxygen in the isocyanate group with a sulfur?,21,,,,
"Which is a bird or fish: Redfin perch, Red-breasted merganser",22,,,,
What is Age of Empires?,7,,,,
What is it called when a river of water falls off a cliff and creates a shower?,23,,,,
What is the birthday problem?,6,,,,
Where is the Willis Tower located?,8,,,,
"Which of the following would be considered assets on a financial statement: Inventory, Revenue, Leases, Accounts Payable, Retained Earnings, Cash, Treasury Bills",37,,,,
How long did World War 2 last?,8,,,,
What are some of the causes for the 1929 US stock market crash?,14,,,,
"What is District 13 in ""The Hunger Games"" known for developing?",14,,,,
"From the following list, tell me whether these animals are real of fictitious: unicorn, alpaca, kangaroo rat, griffin, centaur, colossal squid",49,,,,
What is a Wonton?,7,,,,
"From the passage provided, extract the freight train companies using the corridor.  Place them in a bullet list.",22,,,,
"Classify the below Noble prize winners based on whether they received the prize in 2022 or 2021.
Carolyn Bertozzi, Alain Aspect, Maria Ressa, Abdulrazak Gurnah",43,,,,
where do aliens come from,6,,,,
What is a data pipeline?,7,,,,
What is the population of North Carolina?,8,,,,
Is the Wetmorena agasepsoides a lizard,21,,,,
Who is the most popular president ever in the USA?,11,,,,
What are the three most common types of radioactive decay?,12,,,,
How many Olympic rings are there?,7,,,,
Which book of Douglas Hofstadter won the Pulitzer Prize?,13,,,,
How should I decorate my living room wall? Can you provide some tips and ideas?,17,,,,
who is considered the father of computers?,8,,,,
Why does my back hurt?,6,,,,
"What kind of cancer did Agent Dana Scully get diagnosed with in ""The X-Files""?",24,,,,
Quel a été l'impact de la révolution française ?,14,,,,
"In the series A Song of Ice and Fire, who is the founder of House Plowman?",20,,,,
What makes an organization standout?,7,,,,
How can I quickly treat a headache?,9,,,,
What checks should be done when a data pipeline fails,11,,,,
List the sectoral weightage allocation in Nifty 50 as mentioned in the above passage. Use the format ‘Sector Name - Percentage’ in a numbered list to depict the results and also sort the result based on highest allocation percentage to the lowest.,57,,,,
What is Acyl-CoA?,9,,,,
"Given the reference text about the city of Cologne and its wildlife, can I expect to see any cats in Cologne?",25,,,,
What kind of jelly is best for a peanut butter and jelly sandwich?,15,,,,
What American city is referred to as The City of Roses?,14,,,,
"Which of the following are noble gases: helium, sodium, neon, oxygen, argon, hydrogen, calcium, magnesium, lithium, boron, krypton, nitrogen, xenon, aluminium, radon.",53,,,,
Which full-frame mirrorless camera was first available in the market?,14,,,,
What is an office space?,6,,,,
Can you describe Gene expression?,6,,,,
What is social media?,5,,,,
Please provide a brief summary of Le Souvenir français.,13,,,,
What does the Obilic Medal commemorate?,10,,,,
Imagine you are the last person on Earth. Write a diary entry describing your thoughts and feelings.,21,,,,
"Based on the reference text, what does the champion of the Masters Tournament receive?",16,,,,
Name some of the more renowned British Romantic poets.,13,,,,
Give me a list of things to enable a support team on their technical strengths,17,,,,
What is a Tommy John Surgery?,8,,,,
"Given these paragraphs about Large language models, what are relevant dimensions influencing the skill with which they accomplish tasks, and the range of tasks at which they are capable?",34,,,,
Can you extract the different types of salts and sugars listed in the below text and show them as a bulleted list.,28,,,,
What is a Profit and loss account in finance?,11,,,,
Write me a poem about data,7,,,,
What is Lisp?,6,,,,
Why did the dinosaurs go extinct?,9,,,,
"What could be a clean, inexpensive and efficient way of transportation?",14,,,,
What book won the Hugo Award for Best Novel in 1990?,13,,,,
What are the best ways you can achieve type 2 fun?,12,,,,
"Tell me whether these are mammas or reptiles: cats, dogs, monkeys, whales, turtles, lizards, crocodiles, snakes",40,,,,
Where are the best places to purchase fabric for your sewing projects?,13,,,,
Why practicing sport is important ?,7,,,,
How to lose weight fast?,6,,,,
"Tell me which of these are great Irish Bands: The Hot House Flowers, The Waterboys,The Proclaimers, Deacon Blue, U2, Westlife,",36,,,,
What are some films produced by Takiko Mizunoe?,14,,,,
"per the context given, how would illiterate politicians able to vote?",17,,,,
"Identify the bird from the list: Not, Knot, Nought",16,,,,
What is a GIS?,7,,,,
Give me some ideas for my son's birthday party.,12,,,,
Which bears are the best bears?,9,,,,
how do you decide which job to take?,9,,,,
"Which characters belong to DC or Marvel Universe? Thanos, Darkseid",15,,,,
What genus are beavers a part of?,13,,,,
"Identify which instrument is string or percussion: Janggu, Chapman Stick",18,,,,
"Given this paragraph about the demographics of Osaka, what was the highest number of residents ever recorded to be living in Osaka at any one point in time?",35,,,,
How many books did Dr Seuss write?,10,,,,
Which artist recorded the album Moonlight Madness?,10,,,,
When is the Indian Teachers day celebrated?,8,,,,
Why is the D silent in words like Bridge?,10,,,,
Should I pet the belly of a cat who is laying on its back?,17,,,,
"Identify which instrument is string or percussion: Handchime, Nyatiti",17,,,,
Why f1 drivers earn so much,8,,,,
What year did The X-Files TV show debut?,13,,,,
"Identify which instrument is string or percussion: Rainstick, Tiple",15,,,,
Who are the members of the band Phish.,10,,,,
Suggest 5 horror films to me,8,,,,
How long does it take to recover from a sinus infection?,13,,,,
Which parks are popular in London?,7,,,,
What is a balloon?,6,,,,
How many teaspoons are in a tablespoon?,10,,,,
"Classify each of the following theme parks as Disney or Universal Studios: Magic Kingdom, Islands of Adventure, Epcot, Typhoon Lagoon, Volcano Bay",35,,,,
Can you provide a list of foods that are both high in protein and low in fat?,19,,,,
Which countries today were commonly part of the Fertile Crescent in history?,14,,,,
What is the New Administrative Capital of Egypt?,9,,,,
Which field hockey team has won the Stanley Cup twice in a row?,15,,,,
"How many episodes in season one of ""Game of Thrones"" did Brian Kirk direct?",17,,,,
Is it a good situation to be a dev ?,15,,,,
"Given this paragraph about Chinese cuisine, tell me what are the sub-cuisines, and what made them different.",24,,,,
What is Thomas Anderson's hacker name?,10,,,,
Summarize the plot synopsis of the movie Real Genius in 3 sentences.,18,,,,
Which fruits are often infused with a sweetener prior to drying?,16,,,,
"Classify each of the following as a drink or food: coffee, apple, water, soda, banana, pineapple, champagne",26,,,,
"From the given passage, write down some interesting points on butterflies",12,,,,
How do I keep a kitchen knife sharp?,10,,,,
"Which characters belong to DC or Marvel Universe? Kent Nelson, Doctor Strange",14,,,,
"Classify each country as being in the Caribbean or Mediterranean: Haiti, Cuba, Jamaica, Greece, Italy, France",23,,,,
How to be a human?,7,,,,
"From the passage provided, extract the average size of a female great white shark.",17,,,,
What are the most common languages in the world?,10,,,,
What is the difference between a fruit and vegetable?,11,,,,
Do spotted hyenas actually laugh?,12,,,,
Extract a list of all of the communties and counties mentioned in this article about SH 115.,21,,,,
What is the current recommendation for a healthy diet?,11,,,,
When is the best time to visit the Jersey shore in New Jersey?,14,,,,
Give me a bulleted list of the fastest way to get from to cross the English Channel in a nonconventional way?,29,,,,
"Classify each of the following as either a root vegetable or a fruit: cassava, ube, strawberry, carrot, potato, banana, blueberry, yam, lime",41,,,,
Give me a bulleted list of the seven more recent Indian Prime Ministers,17,,,,
how to use as wax,5,,,,
Which temple was the first female holocaust survivor ordained as a rabbi?,23,,,,
What are the key components of an MLOps pipeline?,13,,,,
"Classify each of these car manufacturers as either Italian, German, American, Japanese, or other: Renault, Dodge, Opel, Ferrari, Lancia, Axiam, Nissan",37,,,,
Write a summary of the outdoor activities to do in Colorado,12,,,,
What’s the most over powered race in StarCraft 2?,14,,,,
What percentage of the world is left-handed?,10,,,,
How do fiber optic cables transmit data?,8,,,,
Create a checklist to move from a 3 bedroom apartment to a 5 bedroom home,18,,,,
Which land mammal has the best hearing?,10,,,,
What is the database?,5,,,,
Where is Malard,4,,,,
How large is the runway of the Richton-Perry County Airport?,16,,,,
Where is Cabernet Sauvignon grown?,6,,,,
"When buying a whole fish, how do you pick a good fish?",16,,,,
What do the letters MG stand for on cars,10,,,,
Give me a list of popular DTC brands,10,,,,
Tell me a story about how the little kitten was rescued from a heater vent. The story should include how the kitten was bottle fed and only four days old with the umbilical cord still attached,42,,,,
What are the key signs of slow development for a 12-month infant?,15,,,,
Which two people are depicted by carved heads near the windows?,15,,,,
Give me a list of the best Dave Matthews Band songs of all time?,17,,,,
"Identify which instrument is string or percussion: Wind machine, Langeleik",17,,,,
"In the series A Song of Ice and Fire, who is the founder of House Towers?",19,,,,
"Identify which animal is domesticated or wild: White cockatoo, Pigeon",20,,,,
Which band sang No Sleep Till Brooklyn?,8,,,,
Can I have a lizard as a pet?,13,,,,
Give me a list of 10 nematode species,13,,,,
"Who were the ""Big Four"" of Thrash Metal?",12,,,,
Write a story on humans on Mars.,9,,,,
"Classify each of the following as part of the upper or lower body: arm, toe, finger, ankle, elbow, chin, chest, shin",34,,,,
What's the signifying traits of Neapolitan tailoring?,15,,,,
What is an experiment?,5,,,,
Extract the highest point in the city of Paris from this paragraph.,13,,,,
Why is cold water coming out of my water heater?,11,,,,
Extract some information about photograph The Last Joke from given text,12,,,,
"Classify these dishes into the cuisines that they belong to.
Panipuri, Risotto, Butter Chicken, Lasagna, Naan, Ravioli, Jalebi",42,,,,
Tell me few brainstorming techniques,6,,,,
"Based on this paragraph, who was Donald Trump's physician during 2018 to 2021?",18,,,,
"Which of the following words are considered a palindrome, a word that can be spelled the same forwards and backward: deified, kayak, chicken, taco, wow, peep, noon, abba, lizard, bob, penguin, margarita, square",69,,,,
Provide me a list of some ways to get exercise that are fun,14,,,,
What is The Sixth Extinction (The X-Files)?,18,,,,
What are the top 2 most practiced religions in Singapore?,13,,,,
write a short essay on day spent in central park,11,,,,
"Tell me whether or not these states are considered mountainous: Idaho, Vermont, Kansas, Hawaii, Florida, New Mexico, California, Rhode Island",29,,,,
What should I consider before taking a job with a lot of travel?,16,,,,
Let me know some different ways that someone can plan a trip,13,,,,
Provide some key points on Cardiac surgery from the given text,14,,,,
"Write a press release for a startup called Outcomes.ai about their product ""Luca"" which offers a new SaaS offering for the subscription economy.",38,,,,
What is the largest city in Ecuador by population?,10,,,,
How many dwarf planets are there in our solar system. Describe each of them,17,,,,
Summarize why critics liked Kanye West’s album My Beautiful Dark Twisted Fantasy.,21,,,,
Who is Joe Biden?,6,,,,
How to write a college essay?,8,,,,
"Tell me if these are baseball teams or football teams: Seattle Mariners, Chicago Cubs, Tampa Bay Devil Rays",25,,,,
What was Robert Metcalfe's impact on society?,13,,,,
Why has pickleball become so popular?,9,,,,
What is a flat white.,7,,,,
"Which animals are a dog or cat?  a cocker spaniel, labrador, Persian, Maine Coone, and king Charles?",33,,,,
Who is Serhiy Malyi?,10,,,,
How deep is the Gulf of Mexico measured in Empire State buildings?,13,,,,
Which US state produces the most pineapples?,9,,,,
Extract the club that Corinthians defeated in the 2012 FIFA Club World Cup.,14,,,,
Who invented the first electric car?,7,,,,
"Given this reference text, give me a list of all the schools attended by Tripp.",19,,,,
What was the Rolling Stones first no 1 hit,11,,,,
Can you summarize the responsibilities of a Chief Data Officer?,13,,,,
"If you are stranded in the African bush, what’s the best way to stay alive  ?",23,,,,
What is the Premier League?,6,,,,
What is Spatial Analysis?,6,,,,
"Without quoting directly from the text, give me a summary of the Voyager 1 space mission",22,,,,
What color is Lavendar?,7,,,,
What is an excavator?,8,,,,
What are the primary causes of climate change?,9,,,,
"Write a story about somebody, anybody, nobody and everybody",12,,,,
what was the American Revolutionary War,7,,,,
"From the passage provided, extract when hallmarking was first observed in England.",15,,,,
What is the largest spider?,6,,,,
Who is the youngest Stark child in Game of Thrones TV show?,14,,,,
Do you really need mobile phone?,7,,,,
"Identify which car manufacturer is Chinese or American: RAM, FAW",14,,,,
What are the seven main islands of Canary Island as per the passage? Display the results in a comma separated format.,28,,,,
"I plan a trip to Italy, what is the top 2 cities to visit?",17,,,,
How can the simple act of lifting weights a few times provide many benefits?,17,,,,
"From the passage provided, extract the date when the iPhone was announced publicly for the first time.",19,,,,
what is use of cryogenics in virology ?,13,,,,
When did Maggie Wilson first appear on TV?,9,,,,
What train is the GB Class 2,8,,,,
What is the histroy behind electoral votes?,10,,,,
Where did Waldo E. Koop work?,10,,,,
Give me a bullet list of 6 different types of Christianity,12,,,,
What are the main characteristics of a Haiku poem?,12,,,,
Create a checklist of newborn essentials.,9,,,,
What awards does someone need to be an EGOT winner?,13,,,,
What are dividends?,5,,,,
Who was one of the best hip hop groups of the late 90s,14,,,,
List four uses of white vinegar outside of cooking recipes,10,,,,
"Tell me whether each person is a basketball or hockey player: Lebron James, Steven Stamkos, Victor Hedman, Tyler Johnson, Kobe Bryant, Carmelo Anthony",39,,,,
Can you tell me about Tabarra?,8,,,,
What is the most popular wine varietal produced in California?,13,,,,
Is rule 606 good for the industry,9,,,,
How old is the world's oldest dog?,10,,,,
What is an option in finance?,7,,,,
What was revolutionary about the Barbie doll when it was first sold?,13,,,,
What is a list of knitting pattern abbreviations and their meanings?,17,,,,
What is Cuneiform?,7,,,,
TAP is the national airline of which country,9,,,,
Could a nuclear explosion change the Earth's rotation?,12,,,,
Which countries has Tamil as one of their official languages?,11,,,,
How do you make a beef brisket rub?,13,,,,
List the territories ceded by Turkey as part of the treaty of Lausanne.,19,,,,
"Identify which car manufacturer is British or American: Rolls-Royce, Ford",16,,,,
"What's special about Novy Urkarakh, the town in Russia?",16,,,,
Which famous musicians played a Fender Stratocaster?,12,,,,
What is the biggest strength of Hong Kong journalists,9,,,,
What is rain good for?,6,,,,
What makes a good woodworking bench?,9,,,,
"How is the game ""ultimate frisbee"" different from ""frisbee golf""?",24,,,,
What are some different types of used clothing stores?,10,,,,
What is Sunset?,4,,,,
What is the Summary of this page?,8,,,,
How long do you need to train before running a marathon?,13,,,,
"Given this paragraph from Wikipedia, what was Alan Wolffe's primary research interest?",18,,,,
What is the name of the season that begins in the summer and ends in the winter?,18,,,,
Name reasons why it is important for young girls to play sports.,13,,,,
Are all types of salt the same?,8,,,,
"Categorize these exercises as either upper body or lower body exercises: squat, bench press, strict press, deadlift, barbell row, dumbbell curls, pull-ups, chin-ups, leg extensions, leg curls, calve raises, wall sits, plank.",69,,,,
Who is the best football team in history?,9,,,,
What is the difference between a resume and a cv?,15,,,,
What year did the Calgary Flames win the Stanley Cup?,12,,,,
