"original","summarization","original_token_count","compression_token_count","compression_ratio"
"Which are the top 3 states of India that account for receiving the maximum number of interstate emigrants?","Top 3 Indian states by inflow of interstate migrants.","21","12","0.57"
"Why Cancun is famous","Why Cancun is famous","4","4","1.0"
"Who are the best guitarists of all time?","Best guitarists of all time?","10","7","0.7"
"What is the Swiney Prize?","What is the Swiney Prize?","8","8","1.0"
"what is one good example on a hackathon project for a middle school student for programming?","One good hackathon project example for a middle school student learning programming.","18","14","0.78"
"what is Sociology?","what is Sociology?","4","4","1.0"
"Why were the Beatles so popular?","Why were the Beatles so popular?","7","7","1.0"
"Given the context below, please answer the provided question:

Context:
In fact, the first highlight moment of the Chat Assistant occurred twelve years ago at the launch event of the fifth-generation iPhone. Scott Forstall, then Apple's software chief, pressed a button on the iPhone to summon Siri and asked it questions. Inquiring about the weather, searching for restaurants, checking stock prices. Keep in mind that this was a time when smartphones were far from widespread, and being able to check stock prices on a mobile phone was already a very novel thing.

Question:
Who was the software chief during the first release of Apple Siri?","Context: 12 years ago at the iPhone 5 launch, Scott Forstall, Apple software chief, summoned Siri. Question: Who was the software chief during Siri's first release?","128","38","0.3"
"Given this paragraph about the dimensions of a volleyball court, is there a difference between the hight of the net for men's competitions vs women's competitions?","In the volleyball court dimensions paragraph, is net height different for men vs women?","29","16","0.55"
"What is the attraction in the United States for the Jeep Wrangler?","What is the US appeal of the Jeep Wrangler?","13","10","0.77"
"Describe the sensation of taking a cold shower and explain the rationale for why someone might take one.","Describe the sensation of a cold shower and the rationale for taking one.","19","14","0.74"
"Imagine you are getting married and are attending a wedding cake tasting. Describe five different flavors you try, with combinations of both cake and frosting for each tasting. Pick one best flavor at the end of the five tastings.","Imagine you're at a wedding cake tasting. Describe five cake+frosting flavor combos and pick the best.","44","22","0.5"
"I dont think I should pursue higher education. From the following, what are some pros and cons of getting a masters education?

degree to show mastery of a subject
Takes money
Hard work is required
Losing out on entrepreneurial opportunities by the time spent studying
degree to show mastery of a subject
skill development
Time away from family
Set you up for lifelong success
respect in society","Unsure about pursuing higher education. From the following list, pros and cons of a master's degree: degree to show mastery of a subject Takes money Hard work is required Losing out on entrepreneurial opportunities by the time spent studying degree to show mastery of a subject skill development Time away from family Set you up for lifelong success respect in society","80","65","0.81"
"Write an essay describing why baseball should be considered America's pastime.","Essay why baseball should be America's pastime.","12","8","0.67"
"Fix the typos and grammar below","Fix the typos and grammar below","7","7","1.0"
"Who are some of the main characters in the show ""South Park""?","South Park main characters?","14","5","0.36"
"Given this reference text about a video game, when was Donkey Kong released?","From the reference text, when was Donkey Kong released?","16","12","0.75"
"What are your 5 favourite museums in London?","List your 5 favourite London museums.","10","8","0.8"
"Who regulates banks in Australia?","Who regulates banks in Australia?","6","6","1.0"
"Who was Nike in Greek Mythology?","Who was Nike in Greek Mythology?","8","8","1.0"
"Order the following list descending 8, 5,2,4,8,9","Sort descending: 8,5,2,4,8,9","18","15","0.83"
"What are people from Wisconsin also referred to as?","Wisconsin demonym?","10","5","0.5"
"Write a response to a veteran interested in renting my house","Respond to a veteran interested in renting my house.","11","10","0.91"
"What are the main considerations for chick care when raising backyard chickens?","Key chick-care considerations for raising backyard chickens?","13","9","0.69"
"What happened to Captain Bligh after the Mutiny on the Bounty?","Bligh's fate after the Mutiny on the Bounty?","15","13","0.87"
"Name a style of hot yoga.","Name a hot yoga style.","7","6","0.86"
"What is data visualisation in the context of business intelligence?","Data visualisation in business intelligence?","12","7","0.58"
"List the years in which Anne Rochelle Steely Ramirez participated in Sprint events based on the passage. Use bulleted format to represent the years and sort in ascending order.","From the passage, list in ascending order the bulleted years Anne Rochelle Steely Ramirez participated in Sprint events.","33","22","0.67"
"What are the defense mechanisms?","Defense mechanisms?","6","3","0.5"
"What is the format of an email?","Email format?","8","3","0.38"
"What is the Shiba Inu (crypto)?","Explain Shiba Inu (crypto).","9","7","0.78"
"Why is it important to vote?","Why vote matters?","7","4","0.57"
"List five items you would need to survive in the wilderness.","List five wilderness survival items.","12","6","0.5"
"What is a viral video?","Definition of viral video.","6","5","0.83"
"Provide a table of the various recruiting lists that Calvin Johnson was named to and who named him to the list and do it in CSV format","CSV: table of recruiting lists Calvin Johnson was named to and who named him to each list","27","18","0.67"
"What products and services are offered by Falco electronics?","What products and services does Falco Electronics offer?","11","10","0.91"
"How popular is K-pop around the world?","K-pop worldwide popularity?","9","5","0.56"
"How do you explain cloud computing to a 5 year old?","Explain cloud computing to a 5-year-old.","13","10","0.77"
"Can you tell me about the history of sports in Philadelphia?","Philadelphia sports history.","12","4","0.33"
"Given a reference text about David Moses ben Meir Dyte, tell me what he is known for.","From a reference text on David Moses ben Meir Dyte, what is he known for?","21","19","0.9"
"What are the primary breathing apparatuses for scuba","What are the primary breathing apparatuses for scuba","9","9","1.0"
"What are two languages spoken in Spain other than Castilian Spanish?","Two languages spoken in Spain besides Castilian Spanish?","13","10","0.77"
"Why do humans like dogs?","Why humans like dogs?","6","5","0.83"
"What are some popular movies from the 1980s?","Popular 1980s films?","12","7","0.58"
"What is the difference between American Football and European Football?","Difference between American football and European football?","11","8","0.73"
"What are some questions I can ask my mom to get to know her better?","Questions to ask mom to get to know her better.","16","11","0.69"
"Why do some people like horror films?","Why do some people like horror films?","8","8","1.0"
"I would like to get a camper for the family vacations.  What things do I need to be aware of when buying one?","I want a family vacation camper. What to consider when buying?","26","13","0.5"
"What is Bart Simpson's best friend named?","Bart Simpson's best friend's name?","9","7","0.78"
"What is the difference between open-toed and close-toed shoes?","Difference between open-toed and close-toed shoes?","14","11","0.79"
"What were gulags and who lived in them?","What were gulags and who lived in them?","10","10","1.0"
"How do I keep my plants alive?","How to keep plants alive?","8","6","0.75"
"Why Interlaken is famous","Why Interlaken is famous","6","6","1.0"
"What are 6 different types of pizza toppings?","List 6 pizza toppings.","10","6","0.6"
"When you are going kayaking in california in the summer, which of these clothes would be appropriate to wear: a lifejacket, a swimsuit, a wetsuit, sweatpants, a knit hat, a ball-cap","Kayaking in CA summer: which clothes are appropriate: lifejacket, swimsuit, wetsuit, sweatpants, knit hat, ball-cap?","43","29","0.67"
"Extract the teams that Bob Sanders played throughout his career, and put them in a comma-separated list.","List teams Bob Sanders played for in his career, as a comma-separated list.","20","16","0.8"
"Given a reference text about the 2022 Mazar-i-Sharif mosque bombing, how many people were injured and killed?","Mazar-i-Sharif 2022 mosque bombing: injured and killed counts from the reference text?","26","21","0.81"
"Give me a bulleted list of the Seven Wonders of Portugal and their construction dates:","Bulleted list: Seven Wonders of Portugal with construction dates.","17","12","0.71"
"Name some male celebrities who have been diagnosed with breast cancer.","Male celebrities with breast cancer.","12","6","0.5"
"What are the seven wonders of the world?","List the seven wonders of the world.","9","8","0.89"
"What’s a recipe for chimichurri?","Chimichurri recipe?","10","7","0.7"
"Given this paragraph about blockchain, how did blockchain influence bitcoin cryptocurrency?","Given this blockchain paragraph, how did it influence Bitcoin?","13","11","0.85"
"What was the first name of Thomas Attewell's brother and cousin?","Thomas Attewell's brother and cousin—first names?","15","12","0.8"
"Classify the following Stephen King works as either a 'book', a 'movie' or 'both': Shawshank Redemption, Carrie, Under the Dome, Sleeping Beauties, The Shining, Sleepwalkers, Dreamcatcher, Bag of Bones, Creepshow, Insomnia, The Green Mile, Cat's Eye","Classify Stephen King works as book, movie, or both: Shawshank Redemption; Carrie; Under the Dome; Sleeping Beauties; The Shining; Sleepwalkers; Dreamcatcher; Bag of Bones; Creepshow; Insomnia; The Green Mile; Cat's Eye","66","58","0.88"
"What are the steps to perform breathing meditation?","Breathing meditation steps?","9","5","0.56"
"What are the toxic house plants for cats?","Houseplants toxic to cats?","9","6","0.67"
"Given a reference text about the Mauritius fody, tell me what they look like.","Describe Mauritius fody's appearance from the reference text.","17","11","0.65"
"Given this article about Operation Aurora, which companies were targeted in the attacks?","Operation Aurora: which companies were targeted?","15","8","0.53"
"From the text given, extract the iPhone Models and the announcement dates and list them using the bullets in the format {iPhone Models} - {Announcement Date}","From the provided text, extract iPhone models and their announcement dates; list bullets as {iPhone Models} - {Announcement Date}.","33","27","0.82"
"Please share some important points to remember for Oscar awards from the given text","Extract key points for the Oscars from the given text.","14","11","0.79"
"What is a phenotype?","Define phenotype.","5","3","0.6"
"What is a less known rule or move in Chess?","Less-known chess rule or move?","11","7","0.64"
"What team represents Concordia University in Irvine, California?","Which team represents Concordia University Irvine?","11","8","0.73"
"How many syllables are in the word smarter?","Syllables in smarter?","10","6","0.6"
"Why Paris is know as the city of light ?","Why Paris is know as the city of light ?","10","10","1.0"
"What are the main ingredients for making bread?","Bread main ingredients?","9","4","0.44"
"Provide a list of diseases which spread in the Diamond Princess and the virus that caused them. Use bulleted list in the format ‘Disease Name - Virus Name - year’.","List diseases spread on the Diamond Princess and their causative viruses. Use bulleted list: Disease Name - Virus Name - year.","34","26","0.76"
"Give me a list of ways to lose weight","List weight loss methods.","9","5","0.56"
"What happens if don't drink water","What happens if don't drink water","6","6","1.0"
"When did Iranians convert to Islam?","When did Iranians convert to Islam?","8","8","1.0"
"How to give a good presentation?","Tips for a good presentation?","7","6","0.86"
"Based on this article, considerations of what time zone is used for determining what land is in the dead man zone?","Based on this article, which time zone determines land in the dead man zone?","23","16","0.7"
"How are the characters Balrog, Vega and M. Bison connected in Street Fighter II?","How are Balrog, Vega and M. Bison connected in Street Fighter II?","19","17","0.89"
"Is karaoke fun?","Is karaoke fun?","4","4","1.0"
"Who was the first coach of the Seattle SuperSonics?","Seattle SuperSonics first coach?","12","7","0.58"
"Name one science fiction book from China","Name one Chinese sci-fi book","7","6","0.86"
"Why is the forum in Rome named the forum?","Why is Rome's Forum named Forum?","10","8","0.8"
"Which football team should I support?","Which football team to support?","7","6","0.86"
"Give me some suggestions to stop my kids from whining.","Tips to stop my kids from whining.","11","8","0.73"
"How does a Husqvarna automatic lawn mower operate.","How does a Husqvarna automatic lawn mower operate.","11","11","1.0"
"What name is Beijing also known by?","Beijing alternate name?","8","5","0.62"
"How old is Tamil language?","Age of Tamil language?","6","5","0.83"
"What causes a spinning top to stop?","Why does a spinning top stop?","8","7","0.88"
"Is it safe to look at the sun directly?","Is looking at the sun directly safe?","10","8","0.8"
"What is rheological weldability?","Rheological weldability?","7","6","0.86"
"Tell me which animals are bigger than the average human: Dog, Mouse, Elephant, Rhino, Hippo, Cat, Squirrel.","Which of Dog, Mouse, Elephant, Rhino, Hippo, Cat, Squirrel are bigger than the average human?","27","24","0.89"
"How to lose weight?","Ways to lose weight","5","4","0.8"
"What does airplane glide ratio mean?","Airplane glide ratio meaning?","7","6","0.86"
"Let me know if you think these are musical instruments or tools: Piano, chisel, Marimba, hammer, drill, scissor, violin, drums, screwdriver, brass, clarinet.","Classify each item as instrument or tool: Piano, chisel, Marimba, hammer, drill, scissor, violin, drums, screwdriver, brass, clarinet.","39","35","0.9"
"Who is the top baseball player based on offensive categories that are not in the major league baseball hall of fame with no chance of getting in while alive.","Top MLB player by offensive categories not in the Hall of Fame, with no chance of induction while alive.","30","21","0.7"
"How difficult is it to learn how to juggle?","How hard is learning to juggle?","11","8","0.73"
"Identify which animal species is alive or extinct: Archelon Turtle, Bornean Orangutan","Alive or extinct: Archelon Turtle, Bornean Orangutan","18","13","0.72"
"Give me a bulleted list of different ways to make a lot of money.","Bulleted list of different ways to make a lot of money.","16","13","0.81"
"What is a Fixed asset in finance?","What is a fixed asset?","8","6","0.75"
"Extract the non-meat ingredients of the sandwich in the passage provided. Separate them with a pipe symbol.","Extract non-meat sandwich ingredients from the provided passage; separate with |.","21","15","0.71"
"What are some important things to bring on a bicycle ride.","Essential bike ride gear.","12","5","0.42"
"Think of lots of different sources of light to read a book","List many light sources for reading a book.","12","9","0.75"
"Give me a list of fantastic movies","List fantastic movies","7","3","0.43"
"What are popular street foods from Maharashtra in India","What are popular street foods from Maharashtra in India","9","9","1.0"
"What is the world's oldest annual marathon based on the reference text below?","World's oldest annual marathon based on the reference text below?","14","12","0.86"
"From the passage provided, extract the year Pro Kabaddi League was established.","From the passage, extract the year Pro Kabaddi League was established.","15","14","0.93"
"Given a reference text about Georg Friedrich Parrot, tell me when and where he was born as well as what he studied.","From a reference text on Georg Friedrich Parrot, report birth date, birthplace, and field of study.","25","21","0.84"
"Who is the best golfer to ever play the game?","Who is the best golfer of all time?","11","9","0.82"
"Classify the numbers based on their divisibility by 5 or 3
15, 55, 33, 50, 99","Classify numbers by divisibility by 5 or 3: 15, 55, 33, 50, 99","29","27","0.93"
"Which of the following animals are primates: Human, Dog, Bonobos, Cat, Bats, Goat, Bears, Orangutans, Wolf, Lion, Squirrel, Koala, Cheetah, Deer, Orca, Gorillas, Camel, Hamsters, Lemurs, Blue whale, Chimpanzee","Which of these animals are primates: Human, Dog, Bonobos, Cat, Bats, Goat, Bears, Orangutans, Wolf, Lion, Squirrel, Koala, Cheetah, Deer, Orca, Gorillas, Camel, Hamsters, Lemurs, Blue whale, Chimpanzee","66","65","0.98"
"Given this paragraph about cycling, who holds the record for the most Tour de France stage victories?","Cycling paragraph: who has the most Tour de France stage wins?","19","14","0.74"
"How many years passed from Ghana's decline to the Mali Empire consolidating western Sudan?","Years between Ghana's decline and Mali Empire consolidating Western Sudan?","17","13","0.76"
"What are some good yoga poses for beginners?","Beginner yoga poses","9","4","0.44"
"What is Cryptocurrency?","What is Cryptocurrency?","4","4","1.0"
"Write a brief about your recent vacation","Describe your recent vacation briefly.","7","6","0.86"
"Write a haiku about sitting on the shore and watching the waves.","Haiku: sitting on the shore, watching the waves.","14","12","0.86"
"From the passage provided, extract the names and published work of the early economists. Identify the name and then the published work separated with a dash. Separate the name and published works pairs with a semi-colon.","From the passage provided, extract each early economist's name and published work; format as 'Name - PublishedWork' per pair; separate pairs with semicolons.","42","33","0.79"
"Classify each of the following as either a country or a city: Sweden, France, Paris, Bali, Rotterdam, Seville, India, San Fransisco, Amritsar, Portugal","Classify as country or city: Sweden, France, Paris, Bali, Rotterdam, Seville, India, San Fransisco, Amritsar, Portugal","38","31","0.82"
"What is the fastest train in the world?","Fastest train in the world?","9","7","0.78"
"What is the Baur au Lac","What is the Baur au Lac","7","7","1.0"
"What causes a recession?","What causes a recession?","5","5","1.0"
"When are storms most common in the North Indian basin?","Storms most common in the North Indian basin?","11","10","0.91"
"What is the best location for a family vacation in western Europe?","Best family vacation spot in Western Europe?","13","8","0.62"
"What was MarCal's restaurant?","MarCal's restaurant?","7","5","0.71"
"Provide a list of ways musicians can earn income from their music craft.","List ways musicians can earn income from their music.","14","10","0.71"
"What is the national day of Germany?","Germany's national day?","8","5","0.62"
"What is rowing?","What is rowing?","4","4","1.0"
"Given this paragraph about Africa, why Africa's per capita  GDP is low?","From this Africa paragraph, why is Africa's per-capita GDP low?","16","15","0.94"
"Given the numerous awards in Major League Baseball, what is the Willie Mays World Series Most Valuable Player (MVP) Award?","What is the Willie Mays World Series MVP Award?","26","11","0.42"
"What are the advatages and disadvatages of commuting with bikes comparing to cars?","Biking vs cars for commuting: advantages and disadvantages.","19","11","0.58"
"Given a reference text about Anoop Nautiyal, what did his work focus on?","From reference text on Anoop Nautiyal, what did his work focus on?","18","17","0.94"
"What is a typical Humpback Whale migration pattern","Typical humpback whale migration pattern?","10","7","0.7"
"Provide a list of body parts that are only three letters long. Here are some body parts that are three lettered words: toe, rib, eye, ear, leg and jaw.","List 3-letter body parts (toe, rib, eye, ear, leg, jaw).","37","19","0.51"
"Who is the main cast in Seinfeld TV show?","Who is the main cast of Seinfeld?","11","9","0.82"
"The paper ""Attention is all you need"" proposed the Transformer model for the first time, which had a profound impact on the subsequent LLM. Please give the main core idea of Transformer described in this paper","Core idea of Transformer in ""Attention Is All You Need"" (self-attention, multi-head, encoder–decoder, positional encodings, no recurrence/convolution, parallelizable).","41","36","0.88"
"Classify these vegetables based on their color.
mushroom, spinach, cauliflower, broccoli","Classify by color: mushroom, spinach, cauliflower, broccoli","18","12","0.67"
"How will chatGPT and other large language models effect education and engineering disciplines?","How will chatGPT and other large language models effect education and engineering disciplines?","15","15","1.0"
"What is the standard Gibbs free energy","Standard Gibbs free energy?","7","5","0.71"
"what is Financial centre","what is Financial centre","4","4","1.0"
"How many times was Edinburgh Castle besieged in its long history?","How many times was Edinburgh Castle besieged in its long history?","14","14","1.0"
"What is the loudest animal on Earth?","Loudest animal on Earth?","9","7","0.78"
"Give me a list of popular news podcast to listen to","List popular news podcasts to listen to.","11","8","0.73"
"How should you care for grapes?","How to care for grapes?","7","6","0.86"
"Have you heard of Doleshwor Mahadeva temple?","Doleshwor Mahadeva temple?","12","8","0.67"
"Please classify from which sci-fi universe are following movies, or tv series: The return of the Jedi, Deep Space 9, Avengers","Classify each item’s sci‑fi universe: The Return of the Jedi; Deep Space Nine; Avengers.","27","22","0.81"
"Describe a recurring dream you've had.","Describe your recurring dream.","7","5","0.71"
"Is learning piano on a keyboard just as effective as learning on a grand/upright piano?","Is keyboard learning as effective as learning on a grand or upright piano?","19","14","0.74"
"Stan laurel, Mickey Rooney, Lana Turner what in common","Stan Laurel, Mickey Rooney, Lana Turner — common?","12","11","0.92"
"Why do children of Indian Origin do well in SpellBee contests in the USA?","Why do Indian-origin kids excel in U.S. spelling bee contests?","16","14","0.88"
"Give me a few ways that I can get stronger and in better shape before the next ski season.","Provide several ways to get stronger and in better shape before the next ski season.","20","16","0.8"
"Tell me whether these are TV shows or movies","Are these TV shows or movies?","9","7","0.78"
"2021 Nobel Prize was awarded to which all Journalists","Which journalists won the 2021 Nobel Prize?","11","10","0.91"
"What is the difference between a pomelo and a grapefruit?","Pomelo vs grapefruit differences?","12","6","0.5"
"What are the benefits of exercising and why one should workout everyday especially if you have a sedentary lifestyle that makes you sit all day long?","Benefits of exercise and why you should work out daily, esp. for sedentary, sit-all-day lifestyle.","28","22","0.79"
"Identify which instrument is string or percussion: Maddale, Banhu","Identify which instrument is string or percussion: Maddale, Banhu","13","13","1.0"
"From this paragraph, tell me when Mary died and when did Elizabeth had Mary, Queen of Scots imprisoned. Also, who supported plots to have Elizabeth overthrown?","From this paragraph: Mary's death date; Mary's imprisonment by Elizabeth date; who supported plots to overthrow Elizabeth.","33","21","0.64"
"Which characters belong to DC or Marvel Universe? Ultron, Brainiac","DC or Marvel Universe? Ultron, Brainiac","14","10","0.71"
"With given text as a reference, Please jot down some details about Central Michigan University","Using the given text as reference, list details about Central Michigan University.","16","14","0.88"
"Extract the ingredients in bee pollen from the text.","Extract bee pollen ingredients from text.","10","7","0.7"
"Name five NFL teams in the AFC.","Name 5 AFC NFL teams.","8","7","0.88"
"What is the difference between income and property taxes?","Difference between income and property taxes?","10","7","0.7"
"What are some of the facts about the festival of San Fermín that could explain it to someone that doesn't know about it based on this text.","Key San Fermín festival facts for a novice, based on this text.","29","15","0.52"
"Who was the Greek goddess of love","Greek goddess of love?","7","5","0.71"
"Who is the primary male protagonist on the TV show ""The X-Files""?","Who is the primary male protagonist on The X-Files?","16","12","0.75"
"What is the capital of Germany?","Capital of Germany?","7","4","0.57"
"What are the four seasons of the year?","What are the four seasons?","9","6","0.67"
"what are the 5 skandhas?","5 skandhas?","9","5","0.56"
"Give me a bulleted list of the seven most recently elected presidents from Argentina.","Bulleted list: seven most recently elected presidents of Argentina.","16","12","0.75"
"What are the words of House Allyrion?","House Allyrion words?","10","6","0.6"
"What is buoyant force?","Define buoyant force.","6","5","0.83"
"Which of these items are helpful for starting a fire? Matches, kindling, banana, newspaper, water, plastic bath toy, a zippo, wet grass, thin dry stick, and liquid charcoal lighter.","Which of the following items are helpful for starting a fire? matches, kindling, banana, newspaper, water, plastic bath toy, zippo, wet grass, thin dry stick, liquid charcoal lighter.","42","41","0.98"
"Tell me about David Wolfenberger","David Wolfenberger","7","4","0.57"
"Classify each of the following as either a typical cat name or dog name: Spot, Whiskers, Mittens, Buddy, Fido, Rover, Lassie, Rex, Felix, Socks, Tiger","Classify names as cat or dog: Spot, Whiskers, Mittens, Buddy, Fido, Rover, Lassie, Rex, Felix, Socks, Tiger","42","34","0.81"
"What are the benefits of meditation?","Meditation benefits?","7","4","0.57"
"Who created Sesame Street?","Who created Sesame Street?","5","5","1.0"
"Can AI take my job","Can AI take my job","5","5","1.0"
"Give me a bulleted list of the last seven World Series winners","Bulleted list of last seven World Series winners.","13","10","0.77"
"Which team has drafted Nkem-Nkechukwu Ojougboh?","Which team drafted Nkem-Nkechukwu Ojougboh?","16","15","0.94"
"Who started Belu?","Who started Belu?","5","5","1.0"
"Identify which instrument is string or percussion: Conga, Ninera","Classify Conga, Ninera as string or percussion.","13","12","0.92"
"Who is the prime minister of India?","India's prime minister?","8","5","0.62"
"Which of these foods are kosher? Lobster, cheeseburger, hamburger and fries, shrimp and grits, thai red curry with tofu, thai red curry with chicken, birthday cake, lentil soup with ham hock.","Which of these foods are kosher? Lobster, cheeseburger, hamburger and fries, shrimp and grits, thai red curry with tofu, thai red curry with chicken, birthday cake, lentil soup with ham hock.","46","46","1.0"
"What is the month of Ramadan?","What is Ramadan?","7","4","0.57"
"What caused the Global Financial Crises?","Causes of global financial crises?","8","7","0.88"
"Given the following paragraph about New York City, how many people live in the city?","From the given paragraph about New York City, what is the population?","17","14","0.82"
"I'm planning a trip to India. How do I decide which places to visit?","India trip: how to decide which places to visit?","16","11","0.69"
"Where can you observe the stars?","Where to observe the stars?","7","6","0.86"
"What factors should I considering when selecting a tennis racquet?","Factors to consider when selecting a tennis racquet?","12","10","0.83"
"Classify these colors into primary or not primary: red, blue, green, orange, yellow, white, blue, pink, black, white, brown.","Primary or not: red, blue, green, orange, yellow, white, blue, pink, black, white, brown","32","25","0.78"
"What are the fifty United States in alphabetical order, as of 2023?","What are the fifty United States in alphabetical order, as of 2023?","16","16","1.0"
"What is a bond","Define bond","4","2","0.5"
"What are the most easy to keep plants?","Easiest plants to care for?","9","8","0.89"
"What is nomadism?","Nomadism definition?","6","5","0.83"
"What elements make a soap opera and what are examples?","Elements of a soap opera; examples?","11","8","0.73"
"Give me a title of one of the ""Harry Potter"" novels.","Provide a Harry Potter novel title.","14","7","0.5"
"We are expecting a baby. Can you describe your experience and provide some pointers as a first time parent?","We’re expecting a baby. Describe your experience and give tips as a first-time parent.","21","18","0.86"
"Identify which animal species is alive or extinct: Megalania, Sea Turtle","Alive or extinct: Megalania, Sea Turtle","15","10","0.67"
"I would like to learn about data and ai. What would you recommend?","Recommend resources to learn data and ai.","15","8","0.53"
"Who is the best golfer in the world?","Best golfer in the world?","9","6","0.67"
"Who were the Beatles?","Beatles?","5","3","0.6"
"When was the last time the Cubs won the World Series","When did the Cubs last win the World Series?","11","10","0.91"
"Total 15 PMs served under Queen Elizabeth II, name the last PM","Total 15 PMs served under Queen Elizabeth II, name the last PM","15","15","1.0"
"Can you show me a list of all the major league baseball teams in the MLB for 2023?","List all MLB teams for 2023.","21","9","0.43"
"How do you find a college internship in your interested field of study?","How to find a college internship in your field of study?","14","12","0.86"
"Name some TV shows that American actress Gillian Anderson has been in.","Name some TV shows American actress Gillian Anderson has appeared in.","14","13","0.93"
"Which characters belong to DC or Marvel Universe? Lex Luthor, Doctor Doom","DC or Marvel? Lex Luthor, Doctor Doom","15","10","0.67"
"How many planets orbit the sun?","How many planets orbit the sun?","7","7","1.0"
"What is a top spin serve in tennis?","Explain topspin serve in tennis.","9","7","0.78"
"Given this paragraph about the sport of triathlon, what are the individual sports make up a triathlon","From this triathlon paragraph, list the sports that comprise it.","20","13","0.65"
"What are the examples of eponyms provided in the passage. List them in the bulleted format.","List the eponyms from the passage as bullets.","21","11","0.52"
"If the year is 2013, is the Samsung E1200 being produced?","In 2013, was the Samsung E1200 being produced?","17","14","0.82"
"When should I take a medication?","When should I take medication?","7","6","0.86"
"Identify which instrument is string or percussion: Talking drum, Tambura","String or percussion: Talking drum, Tambura","13","9","0.69"
"What are the pros and cons of high interest rates?","Pros and cons of high interest rates?","11","8","0.73"
"Who is Jorge Luis Borges?","Jorge Luis Borges bio","6","5","0.83"
"Where was the 2018 UCI Track Cycling World Championships held?","2018 UCI Track Cycling World Championships location?","14","10","0.71"
"Which of the following films came out after 1948?","Which films released after 1948?","12","8","0.67"
"Why should people convert lawns and ornamental gardens to native plants?","Why convert lawns and ornamental gardens to native plants?","12","10","0.83"
"From the given text, Please summarize the early life of Élodie Yung","From the text, summarize Élodie Yung's early life.","16","14","0.88"
"Classify the following hockey teams as either National Hockey League (NHL) or American Hockey League (AHL): Abbotsford Canucks, Bakersfield Condors, Belleville Senators, Bridgeport Islanders, Calgary Wranglers, Charlotte Checkers, Chicago Wolves, Cleveland Monsters, Coachella Valley Firebirds, Colorado Eagles, Grand Rapids Griffins, Hartford Wolf Pack, Henderson Silver Knights, Hershey Bears, Iowa Wild, Laval Rocket, Lehigh Valley Phantoms, Manitoba Moose, Milwaukee Admirals, Ontario Reign, Providence Bruins, Rochester Americans, Rockford IceHogs, San Diego Gulls, San Jose Barracuda, Springfield Thunderbirds, Syracuse Crunch, Texas Stars, Toronto Marlies, Tucson Roadrunners, Utica Comets, Wilkes-Barre/Scranton Penguins, Anaheim Ducks, Arizona Coyotes, Boston Bruins, Buffalo Sabres, Calgary Flames, Carolina Hurricanes, Chicago Blackhawks, Colorado Avalanche, Columbus Blue Jackets, Dallas Stars, Detroit Red Wings, Edmonton Oilers, Florida Panthers, Los Angeles Kings, Minnesota Wild, Montreal Canadiens, Nashville Predators, New Jersey Devils, New York Islanders, New York Rangers, Ottawa Senators, Philadelphia Flyers, Pittsburgh Penguins, San Jose Sharks, Seattle Kraken, St Louis Blues, Tampa Bay Lightning, Toronto Maple Leafs, Vancouver Canucks, Vegas Golden Knights, Washington Capitals, Winnipeg Jets","NHL: Anaheim Ducks, Arizona Coyotes, Boston Bruins, Buffalo Sabres, Calgary Flames, Carolina Hurricanes, Chicago Blackhawks, Colorado Avalanche, Columbus Blue Jackets, Dallas Stars, Detroit Red Wings, Edmonton Oilers, Florida Panthers, Los Angeles Kings, Minnesota Wild, Montreal Canadiens, Nashville Predators, New Jersey Devils, New York Islanders, New York Rangers, Ottawa Senators, Philadelphia Flyers, Pittsburgh Penguins, San Jose Sharks, Seattle Kraken, St. Louis Blues, Tampa Bay Lightning, Toronto Maple Leafs, Vancouver Canucks, Vegas Golden Knights, Washington Capitals, Winnipeg Jets AHL: Abbotsford Canucks, Bakersfield Condors, Belleville Senators, Bridgeport Islanders, Calgary Wranglers, Charlotte Checkers, Chicago Wolves, Cleveland Monsters, Coachella Valley Firebirds, Colorado Eagles, Grand Rapids Griffins, Hartford Wolf Pack, Henderson Silver Knights, Hershey Bears, Iowa Wild, Laval Rocket, Lehigh Valley Phantoms, Manitoba Moose, Milwaukee Admirals, Ontario Reign, Providence Bruins, Rochester Americans, Rockford IceHogs, San Diego Gulls, San Jose Barracuda, Springfield Thunderbirds, Syracuse Crunch, Texas Stars, Toronto Marlies, Tucson Roadrunners, Utica Comets, Wilkes-Barre/Scranton Penguins","276","259","0.94"
"Give me list of top 10 countries by GDP","List top 10 countries by GDP.","10","8","0.8"
"What are some ways in which I can use a pen for other than writing?","Uses of a pen besides writing?","16","7","0.44"
"What are some of the benefits of learning flute as a child","Benefits of learning flute in childhood","12","6","0.5"
"Extract all of the names of people mentioned in this paragraph and list them using bullets in the format {Name}","Extract all person names from this paragraph and bullet them as {Name}.","22","14","0.64"
"What are brambles?","Brambles?","5","3","0.6"
"Tell me whether these states are in Eastern Time, Central Time, or neither","Classify listed states as ET, CT, or neither.","15","12","0.8"
"Who is RFK?","Who is RFK?","5","5","1.0"
"8 Simple Ways to Adopt a Healthy and sustainable Eating Pattern","8 Simple Ways to Adopt a Healthy and sustainable Eating Pattern","11","11","1.0"
"What is brackish water and where does it occur?","Brackish water: definition and where it occurs.","12","11","0.92"
