original,original_token_count
What is Special Agent Fox Mulder's FBI identification number?,12
What is quantum mechanics?,5
Can Penguins fly?,4
In which European country is this school located?,9
Why was there a storm in San Francisco last week?,11
What is Adventures of Tintin?,7
As per the passage what are the four names of the Vedas?,14
Tell me about the discovery of coffee bean?,9
"Which of the following famous basketball players have won an NBA championship: Lebron James, Steve Nash, Michael Jordan, Charles Barkley, Dwight Howard, Larry Bird, and Chris Paul",36
"Identify which instrument is string or percussion: Gong, Oungum",13
"Given this paragraph about the Grammy Awards, who has the most Grammys of all time?",18
When was the 68th Division of People's Republic of China deactivated?,15
Which states make up the Pacific Northwest?,8
How many World Series have the Detroit Tigers won?,10
Write a paragraph of a blog post describing the appeal of a weekend stay at Blue Ridge Parkway?,19
Name some books of the Bible.,7
"Classify each of the following as either round or square shaped: a planet, a a ball, a slice of bread, a chess board.",29
"What's the ""Bean"" in Chicago?",8
"Given a reference text about a George Orwell, tell me when and where they were born, what books they wrote, and what their most famous accomplishment were.",31
Where is Sugarloaf mountain located?,8
"Tell me whether these schools are Ivy League or not: Princeton, Vanderbilt, Rice, Stanford, Dartmouth, Brown",22
Which are the 2 prominent parties in Indian politics,10
What is Taj Mahal?,5
"Classify each of the following as cylindrical or spherical: Earth, baseball, pipe, tube, soda can, basketball",23
Give me a summary of the early history of snowboarding,11
Which spices should every cook have on hand?,9
What are the best ways to reduce my carbon footprint?,11
"Identify which animal species is alive or extinct: Livyatan, Mountain Gorilla",15
How do I build my own computer?,8
"Name some characters from the TV show ""Friends""?",10
Provide a bulleted overview of the components of GDP by expenditure,12
Extract from the text the list of actors and the characters they play.  List answer as bullet list in in format:  {actor name}:  {character name},34
How can I ask my aging father-in-law to see the cardiologist when he doesn't want to go?,21
What is the mission of the Federal Bureau of Investigation?,11
Is figure skating a hard sport?,7
What could you do on a Sunday?,8
"What is the meaning of ""tidal coupling""?",10
How many Harry Potter books are there?,8
What are the words of House Velaryon?,10
Please give me a short bulleted list of what happened in the 2023 Covenant School shooting incident,20
What was the Troggs most famous hit,9
What are the names of four large moons of Jupiter discovered by Galileo Galilei in 1610?,21
What is tequila?,4
What is Chichen Itza?,7
What are artificial neural networks?,6
Why is an umbrella useful?,6
Who wrote Ready Player One?,6
"Tell me which of the following are breeds or types of cats: Maine Coon, corgi, golden retriever, Siamese, domestic short hair, Chihuahua, Samoyed, Sphynx, tabby",44
What is CAP theorem in computer science?,8
What are the three best commuter trains in California?,10
"Identify which instrument is string or woodwind: Clavinet, Ocarina",16
"Tell me whether these people are chess Grandmasters or professional boxers: Nikolai Krogius, Evgeny Gleizerov, Dmitry Bivol, Nikolai Valuev, and Alexander Alekhine.",44
What should I expect from modern Data and AI Platform?,11
List the name of the games in Prince of Persia series along with their publication year. List the results in comma separated format.,25
What are options for materials to build a house?,10
List all the school districts in the following paragraph in a bullet list.,14
Summarize the argument and tell me who won,10
What are some noteworthy facts from Gabriel García Márquez present on the text?,15
"Given this paragraph about ferrets, do they spend the majority of the time sleeping in a 24 hour day?",23
Think of seven different protein sources that humans like to eat,11
"Given the referenced text, what Roman Emperor gave Roman Citizenship to all free men?",16
Why do we have winter and summer clocks?,9
What is a t-style guitar?,7
"Classify each of these breads as either a dog or a cat bread: Siamese, Ragdoll, Yorkshire Terrier, Birman, Cocker Spaniel, Saint Bernard.",36
Give me a list of 10 commonly used seasonings in Chinese cooking,14
"Classify each of the following as either a city or a country: venice, rome, venezuela, vatican city, india, brazil, mexico city, mexico, NYC, china, taiwan, london",45
"Which of the following items are for little kids? 
toy, car, airplane, diaper, sippy cup, computer, lighter, onesie, and microwave.",33
"Tell me whether each company is based inside or outside of the USA: Uber, Grab, Samsung, Meituan, Exxon, Amazon, Roche",29
Who was Beethoven?,4
What is the plot of Persuasion by Jane Austen?,12
What new economies developed because of the anti-slave treaties?,12
Can we transition from oil and Gas ?,8
"Given these paragraphs about Large language models, what is hallucination?",13
"Given these two sets of instructions, will you end up at the same end point if you started at the same beginning point? First instructions: 1) Take 2 steps forward 2) Turn left 3) Take 3 steps forward 4) Turn left 5) take 2 steps forward. Second instructions: 1) Turn left 2) Take 6 steps forward 3) Take 1 step backward 4) Take 2 steps backward.",96
"Given a reference text about Alberto Michán Halbinger, in what olympics did he compete?",19
What are the examples of  quantum tunneling processes?,11
Why do people prefer Dunkin over Starbucks?,9
Why do people like sweet treats so much?,9
"If you were to compete in the Olympics, which sport would you pick?",15
Who built the great pyramid of Giza?,9
What is the meaning of the information age,8
"Based on the below Wikipedia content, what is OLTP?",12
"Using this passage, extract all the years associated with the area.",13
"Given a reference text about Michał Rozenfeld, tell me what he did before the war and where he's buried.",24
"Identify which car manufacturer is German or American: RAM, Artega",13
"Besides his expeditions, what was Shackleton's life like?",13
What is Easter?,4
What Is the Population of San Francisco and the Bay Area?,12
Please give me a short bulleted list of the key discoveries from Gallo’s lab.,18
Give me the list of fortified wines.,8
Tell me about the history of Data Warehousing. Make it entertaining,13
Why are some people vegetarian?,6
"What is a way I can trick my mom into thinking I'm sick, so I can skip school today?",21
Why are the Blasket Islands no longer inhabited?,10
"Given a reference text about a red letter day, provide an explanation of what it means.",18
What was the main treaty that marked the end of World War I?,14
Does Davos have a good hockey team,8
Why are cats so picky about what they eat?,10
road trip to Kerala from Bangalore.,7
Who is known as The Invincibles in English football?,12
What is a chord in guitar music?,8
What is ice hockey?,5
What are the best selling albums of all time? Give me the list with the name of the artist and the name of the album,26
Name some of the best tourist spots in USA?,10
How did Jim Henson die?,7
Name some of the bravolebrities from The Real Housewives of Atlanta,13
Come up with the best way to build a sales pipeline,11
What are startup fundraising rounds?,6
Which country has won the most world cups in soccer?,11
Give me a list of the ten best rock guitarists of all time,14
"On a flight, I can only pack three of the following items: sword, book, phone, suitcase, parrot, plane. Which ones should I pack?",33
Why is Sauna or heat therapy good for you?,10
What is software craftsmanship,4
"Why should people consider going on holiday in Henley on Thames, UK?",15
Who is Phil Murphy?,5
"Based on the following paragraph on squat lobster fisheries, where do such fisheries exist today?",17
How many windows does the building have based on the provided paragraph?,13
Give me a list of the ten best romance novels of all time,13
Give me a list of the most popular vehicle brands in the United States.,15
"Given this paragraph about Hydrogen Storage, what is the hydrogen boiling point?",14
What is the most common spoken language in the world?,11
Explain inter frame,3
What was the Ottoman ironclad Hifz-ur Rahman?,15
What is the difference between fruit and vegetables?,9
Were masks effective in stopping the spread of Covid 19?,12
"Classify each of the following as either characters from Star Wars or Star Trek: Jean Luc Picard, Grogu, Han Solo, Luke Skywalker, Data, Q, Darth Vader, Ahsoka, William Riker, James Kirk, Spock",51
Is it better to rebuild or remodel a house?,10
what are the five pillars of migration or modernization from a legacy data warehouse to a modern lakehouse?,20
"At the concert last night, identify each of these musicians as singer, drummer, guitarist, or bassist: Steve Harris, Bruce Dickinson, George Lynch, Nicko McBrain, Angus Young",37
Which president was 1st to win a Nobel prize.,12
What did Jamaican-American author Nicola Yoon major in college for her undergraduate degree?,16
What movies made Seattle famous in the 1990s?,12
What are some examples of diseconomies of scale?,11
"Identify which instrument is string or woodwind: Pedal Harp, Baritone Saxophone",18
Is weightlifting good for you?,7
"Classify each of the following as fast or slow: Toyota Supra, Toyota Corolla, Toyota Highlander",20
America’s cup comeback,4
"Identify which animal species is alive or extinct: Opabinia, Dugong",15
How do you maintain good dental hygiene,7
Did you know the Earth is flat?,8
Give me a bulleted list of tech billionaires.,11
What is Falaknuma palace?,8
What are some common character types in D&D?,10
Queen Elizabeth II coffin rested on a raised platform called a catafalque at,16
Tell me about the 1999 UEFA champions league final?,12
Why is Austin Texas a popular place to live,9
What is a casual hobby that would be fun to get into?,13
"Which film won multiple Filmfare Awards?
A. Mumbai Meri Jaan
B. Govardhan
C. C.I.D.
D. The end titles are accompanied by the song Aye Dil Hain Mushkil.",46
What is the difference between its and it's?,9
"Write a story where a princess discovers an abandon cave. The story should have a beginning, middle and end.",22
"Given these paragraphs about the Tesla bot, where and when was it announced?",15
What is the best way to approach a new cat?,11
What is comparative genomics?,6
What are some popular search engines?,7
Ms. Murmu becomes 2nd woman to hold the post after,14
What is a typical Dutch tradition when a baby is born?,12
How often are the Olympics held?,7
How many movies did director Quentin Tarantino make?,10
can you recommend fun activities to enjoy in Austin in summer?,12
Why are Christmas markets so popular in Germany?,9
What is one of your favorite color?,8
How to become a good team player?,8
Which is a species of fish? Opah or Oprah,11
What should I consider when deciding between electric car or gas car?,13
What is Visual Basic?,5
Do tomatoes belong in Louisiana-style gumbo?,9
Should we get rid of social media?,8
Are there any eco-friendly alternatives to cremation?,10
who created the first Teddy bear?,7
"From the passage provided, extract the two forms of energy transfer and list them in bullets.",18
What are the five boroughs of New York City?,11
Why do I have blonde hair?,7
What are several ways to keep a toddler busy?,10
What are things I can do to help me score better on a test?,15
How many planets are there in the solar system?,10
What is magic the gathering?,6
Does Starlink perform well for working on the road?,11
Bob's mother had 3 children. Two of them are Mary and Hugh. What is the name of the last child?,25
"From the below text, list the top 3 chapters of the Bhagvad Geeta, with the most verses.",23
What is better: Tiramisu with chocolate or with Strawberries ?,14
When did the Vietnam War Start?,7
What is it like being the last person on earth?,11
"Classify the following ten cloud types by altitude :
Cirrus, Cumulus, Stratus, Stratocumulus, Cumulonimbus, NimboStratus, Cirrocumulus, Cirrostratus, Altostratus, Altocumulus,",54
What is barbecue?,4
"whats needed to make a biryani?

rice
chicken
honey
sugar
oil
pot
towel
barbeque
onions
oven",36
What are the primary ingredients and spices that go into Greek cooking?,13
"Tell me if these are cities or countries: Spain, Paris, Rome and Germany",16
What is a DAW?,6
ways to generate electricity,4
"Given this reference text on the creation of centaurs, where did the mythology originate?",18
In the provided text multiple examples of a metric are given. Extract the third example of a metric.,20
What kind of species is the Hackelia bella,9
"In chess, why is the queen valued at nine points instead of eight?",15
What is the smallest state in the USA?,9
"Tell me whether these people are comedians or athletes: Chris Rock, Kevin Hart, Tom Segura, Joe Rogan, John Rahm, Zach Ertz, Kyler Murray",35
"Given a reference text about Justice League Dark, tell me who the main actors are and what roles they played.",22
What does Tianwen means?,6
Who is Prince (musician)?,7
"Give me the list of top 10 movies released in the current millennium, by IMDB rating. Format: Title (Release Date) Rating",28
What is the most important thing for law enforcement in a kidnapping case?,14
What are the merits of skipping breakfast? Can you target your answer to a typical American and describe in layman's terms rather than detailed scientific jargon?,29
"Given this paragraph about the planet Jupiter, tell me what it is made of.",16
Who is William Alfred Bayly?,7
What is the name of the national museum of the Netherlands?,12
which are the must visit places in India?,9
Why do people foster dogs?,6
What are good gifts for a new mom?,9
"Classify the following shapes as either two dimensional or three dimensional: cube, circle, sphere, triangle, cone, rhombus, square, and pyramid.",32
What type of brushes are typically used to create an acrylic painting?,13
"Which of the following are writing implements: pen, fine line markers, tiles, morning glories, alcohol markers, mechanical pencils, jugs, sand, ocean salt water, towel",36
Is it better to visit Yosemite or Venice?,9
Give me a bulleted list of the top five most followed Instagram profiles.,15
What is the biggest threat to the great barrier reef?,11
When was rolling luggage invented?,6
Where should I travel for a summer vacation in the United States?,13
Name some famous 1990 music,7
What is the alphabet?,5
Why do we use passwords?,6
"I'm a vegan and traveling to new york city next month, can you suggest some vegan restaurants that i can eat at during my trip?",27
"Identify which instrument is string or percussion: Huiringua, Pipa",14
Extract the names of the Formula One teams Hamilton was a part of from the text. Separate them with a comma.,23
"Here's a list of the key characters in the TV Series Picard who also appeared in another Star Trek franchise series': Jean-Luc Picard, Data, Seven of Nine, Deanna Troi, William Riker, Q, Borg Queen, and Wesley Crusher.

List the characters, sorted by the original series in which they appeared.",66
"Identify which instrument is string or percussion: Marimba, Hummel",13
What else can you do with a hammer other than hammering nails?,14
What types of bikes are there?,7
Why do people eat food?,6
Why do people like plants?,6
Name some of the most popular rides at Disney World's Magic Kingdom theme park.,15
What is castling in chess?,7
Who was Amilcare Ponchielli?,9
What is the best way to improve your tennis skills?,11
What are the 7 continents in the world,9
"Can you write a brief summary for the book ""Braving the Wilderness"" by Brene Brown?",20
Which sub-Saharan colony was the first to gain independence?,12
"Identify the bird from the list: Gadwall, Worm, Centipede",15
"Identify which instrument is string or percussion: Shime-daiko, Chilador",15
Why do you love someone,5
Is the Vex or FIRST robotics competition a better choice for a child in high school?,18
Of which generation is Jiang the core leader of China,10
"Identify which animal is domesticated or wild: Donkey, Leopard ca",14
"Given this paragraph about the dimensions of a volleyball court, what is the area of one half of a volleyball court with an explanation of the math behind the calculation.",32
Which album Freya Clausen release?,8
"Tell me which continent the following cities are in:
- Seattle
- Helsinki 
- Lagos
- Osaka
- Istanbul",24
Why do we feel lighter in weight in a swimming pool?,12
How many more keys does a standard piano have over a harpsichord?,16
"Given this paragraph about planting and harvesting for peanut butter, when are peanuts typically harvested?",17
how to fight a speeding ticket?,7
Who was Yogi Bear named after?,8
"Classify the following as either a solid, liquid, or gas: carbon dioxide, water, oil, granite, aluminum, gold, oxygen",28
How was Netflix able to overcome Blockbuster’s industry dominance in home video rentals?,16
How did Caesar come to power in Rome?,9
What are 5 different edible uses for Tomatoes?,10
Why is CH the Country Code for Switzerland?,9
What does W stand for in the name W. Rex Black?,13
What is the plot of Kuroko's Basketball?,11
Why the Kings will beat the Warriors in the Playoffs,11
Why is Pickleball sport so popular,8
Which is a species of fish? Tenpounder or Ninepounder,16
How long did Air Finland operate?,7
I need some ideas for a first date.,9
Is the following statement true or false: cat's have wings?,13
What was the purpose of Major League Baseball's rule changes this year?,14
Should the US government pay reparations?,8
Which animal has the longest known hibernation period,10
"According to the text below, what is a block?",11
When was Anfield football stadium built?,8
Please give me a summary of the current rule set for roller derby.,14
What is New England,4
What is the tallest structure in the Western Hemisphere?,10
Tell me about the Walton Football Club,7
"Classify the following nba teams with their respective conference: kings, clippers, bucks, hawks, celtics",24
Who was Andrew Weatherall,5
"Given this paragraph about the description of wakesurfing, what is needed to generate the wave?",19
"Classify these alcoholic beverages as bourbon, wine, or beer: Budweiser, Blanton's, Devil's Backbone, Chardonnay, Pinot Noir, Yellowstone, Elijah Craig, Pinot Grigio, Yeungling, Sauvignon Blanc, Cabernet Sauvignon, Samuel Adams, Sierra Nevada, Baker's, Basil Hayden, Eagle Rare, Merlot, Jim Beam, Coors Light, Jack Daniels, Heineken, Miller Lite",84
"Based on the above passage name the regions which were a part of Fatimid Caliphate apart from Egypt, at its height. Display the results in a comma separated format.",35
Provide a list of benefits of flying first class.,10
What's the best way to study for a test?,10
What is arithmetic,3
"Classify each of the following as either a city, or a state/province, or neither: San Jose, Shanghai, Jiangsu, Texas, Japan, Shandong",34
What high school did Tyrone Brazelton go to?,12
"When building a piece of furniture, categorize each of the following as either ""useful"" or ""not useful"": Hammer, Asphalt, Gym, Wood, Nails, Tequila, Measuring Tape, Burrito",41
Whale skin is how many cm deep?,9
What makes Southwest Virginia special?,6
How early should you arrive at the airport before a flight?,12
What are the three main nutrient groups?,8
Why is pickleball popular?,6
What is Tianwen 1?,7
What are 5 popular reality TV shows?,9
Give me a list of the 10 most important soccer teams in Brazil.,15
"Name the place in New Zealand, where a volcano erupted?",12
Q: What is the risk of using a hand sanitizer that contains methanol (wood alcohol) or 1-propanol?,26
"Identify which car manufacturer is Italian or American: Ferrari, GMC",12
"What happened to Ned Stark's ancestral family greatsword, Ice?",14
How much renewable energy is produced and consumed in the United States?,13
Which classical musician went deaf in the prime of their career?,12
Who ordered John the Baptists execution,7
What is difference between ECS and EC2?,9
Write a description detailing why Soccer is better than Basketball.,11
What is accepted to be California's first official wine-producing vineyard?,13
"Classify which teams are in the NHL or NBA: Detroit Red Wings, Detroit Pistons, Milwaukee Bucks, Cleveland Cavaliers, Columbus Blue Jackets, Chicago Bulls, Chicago Blackhawks",35
What is the FAANG equivalent in China?,9
"Given a reference text about Giovanni Dominici, when was he beatified?",15
What woodwind instruments are popular to learn?,9
Can whales and dolphins breathe underwater?,7
How do you determine the severity of vulnerabilities.,9
Who proposed the Gini coefficient as a measure of inequality of income or wealth?,16
How long did dinosaurs rule earth?,7
What is beta oxidation?,5
I want to sketch with graphite pencils but am confused about the range of options. What do the pencil grades mean and how can they be used?,29
"Given the reference text, where would I be able to find The Oath of Leo III?",19
Why does the divide and average method for computing square roots work?,13
"Which is a bird or fish: Black guillemot, Black bass",14
"Which of these are religions and which are countries: Christianity, Judaism, Norway, Canada, Islam, Egypt, China, and Iran.",27
My trophy does not fit my suitcase because it is to small.  I need to travel.  What could I do?,25
Did David Benioff direct any episodes in season three of Game of Thrones?,16
Who is Sean Connery?,6
What are the key features introduced by Apple in their iPhone since its creation which makes it so popular and innovative?,23
who won the last soccer world cup ?,8
"Identify which instrument is string or percussion: Ranat ek, Sasando",14
why do human beings have a tendency to think they are always right?,14
"Which of the following are dog breeds? Magyar Vizsla, German Shepherd, Abyssinian, Doberman, Scottish Fold",24
"Given this short paragraph about the life of George K. McGunnegle, how old was he when he retired and what month of the year did that happen?",33
How do you care for a dog?,8
why do you like India,5
Who was the most popular musical artist in the 1980s?,14
"per this description of the game of fooseball, how many full rotations are allowed in the game at the championship level?",25
What are three things I can do to be better at tennis?,13
Based on the text how does someone win in Texas Hold 'em?,14
What are the words of House Tallhart?,9
What is random access memory?,6
Make me a list of the first four Americans who landed on the moon.,15
What colors would you use for a futuristic logo?,10
"At a restaurant that serves only vegan food, tell me whether each of the following items could be found in the kitchen or not: Butter, Eggs, Tofu, Chicken, Kale, Spinach, Peppers, Steak, Bread, Chickpeas, Pork",51
How long did the Mughal empire last in India?,11
"Tell me which of these are shades of Blue that BWM paints their cars: Miami Blue, Laguna Seca Blue, Le Mans Blue, Interlagos Blue, Heritage Blue, Mexico Blue, Yas Marina Blue, Gulf Blue, Long Beach Blue.",50
"Write a short, polite but forceful letter to the City of Toronto requesting they waive their assessed penalty for late submission of the annual home vacancy declaration, which was impossible to file due to an overwhelmed web portal and incorrect backend data for my home.",49
What is Mr. Burn's assistant name on the Simpsons?,12
"Classify each of the following as healthy or unhealthy: cake, apple, broccoli, donut, candy, soda, kombucha, and ice cream",29
Who is the company Swiss Re,6
Explain the Fibonacci sequence,4
What does LBH mean?,6
What video game console can you play ATV Offroad Fury 3 on?,15
What is a stock?,5
How do you install tubeless tires on a bicycle?,11
What famous Italian plumber brothers were featured in the Nintendo Entertainment System?,13
Suggest some brass instruments I can learn if I want to play in an orchestra?,16
Please list the Peace Nobel Prize award winners according to the text,12
"Tell me the country of these cities: Tokyo, London, New York, Taipei",16
What triggers urticaria at night and why are hives and itching at their worst?,18
The LIVA Miss Diva Supranational 2021 was given to whom?,17
"What are all the locations that walnut trees grow, listed in this article.",15
What is an exacta?,6
Give me a list of 10 airlines from around the world.,13
"Based on the reference text about the Tampa Bay Rays, what is the name of their stadium and who are their main rivals?",25
What are the benefits of working out?,8
what is the greenest country ion the world,9
Give me a bulleted list of the five most recent Italian prime ministers.,15
Who did Stafford throw touchdown passes to in Super Bowl LV?,12
"Tell me whether these are cheeses or not: Stinking Bishop, Gouda, Gonzo, Brie, Partisano",24
what is rain ?,4
What might make a good villain for a fantasy role playing game adventure.,14
What does the percentage chance of rain in a weather forecast indicate?,13
Name five countries in South America.,7
"I have a list of Herbs and Spices. Please divide this list into those categories: basil, bay leaf, chives, cardamon, cinnamon, fennel, cloves, lemon grass, nutmeg, pepper, oregano, turmeric, parsley, ginger, saffron, vanilla rosemary, cumin, sage, and thyme.",65
what is yellow long fruit?,6
Which parts of New York City are best to live in?,12
Why is customer obsession important,5
What math classes are offered at high schools in the United States?,13
What's the best for indoor plant?,7
"Of NFL teams who have gone to the Super Bowl, how many have a win percentage of Super Bowls of at least 50%?",28
Why you should sleep at least 7 hours,9
"From the passage provided, extract the types of castles in Greater Manchester and the corresponding number of each type in a numbered list of format {Type} - {Number}",33
"From the passage provided, extract the what were some of the key years and discoveries of portuguese maritime exploration?",22
What did Stevie Ray Vaughan name his most beloved guitar?,11
"Which characters belong to DC or Marvel Universe? Doctor Strange, Dr. Fate",15
"Which movies star Eddie Murphy and which ones star Bill Murray: Groundhog Day, Coming to America, Rushmore, Lost in Translation, Beverly Hills Cop, Caddyshack, 48 Hours, and Trading Places.",44
When did Alaska become a state?,7
What are five popular songs by the Grateful Dead?,11
"Identify which car manufacturer is German or American: Dodge, Volkswagen",12
"In your mind, what is most concerning about the state of American politics today?",16
What is accounting?,4
"Assume you are the head boy/ girl of your school, draft a notice of around 50 words inviting students of classes 11 and 12 to attend a career counselling session by ABC, including how it will help the students.",47
Why do cats make purring sounds?,8
"Which of the following technology categorized as Infrastructure as code (IAC) or CICD tool? Terraform, AWS Cloud Formation , Github actions, Azure Devops pipeline",32
What country has the most active valcanoes in the world?,13
"In the series A Song of Ice and Fire, who is the founder of House Massey?",19
"Classify these as healthy or not healthy food options or not a food: french fries, KFC, apple, fruit salad, steak, beer, wine, whisky, potato chips, baked cauliflower, wrench, gravel, McDonald's, Turkish kebab, pear, bricks, aloe vera, sand.",60
is engineering a great career,5
What is a economic trait of Generation Z (Gen Z)?,12
"According to this passage, what percent of the lithography machine market do Ultratech, Canon and Nikon, MKS Instruments, Lam Research and Cadence Design Systems have in aggregate?",37
"Classify each of the following as either a virtue or a vice: humility, kindness, patience, greed, anger, lust, envy, pride.",30
"Could you plan a canoe camping trip in Michigan? I want to canoe the river from start to end, and need specific camping locations for each night.",30
What is Twitch Interactive?,5
"After the song ""Holding Out for a Hero"" appeared in Footloose, what album did it appear in?",23
When is the best time to see cherry blossom in Japan?,12
Is Python a popular programming language?,7
Who is the successor of Queen Elizabeth II ?,9
Can foreign nationals get an Aadhaar in India?,10
What are some types of things you can cook at a campfire?,14
How cloudy is Seattle USA,5
"Choose the word which is different from the rest:  Trunk, Tree, Fruit, Leaf, Flower",21
"Tell me whether these are fiction or non fiction books: ""To Kill a Mocking Bird"", ""The Lord of the Rings"", ""A Brief History of Time"".",33
What are some of the best business podcast to listen to?,12
What are some achievements of the 137th Division,10
What is a Put option in finance?,8
What should I think about when buying a car (summarization),14
What is Ralph Baer famous for?,8
"Which of these are languages in India and which are not Indian Languages: English, Hindi, Ukranian, French, Spanish, Hindi, Kannada, Tulu, Mandrian, Tamil, Taiwanese, Korean, Japanese, Assamese, Sanskrit, Urdu, Telugu, Russian, German, Italian, Arabic, Dutch, Welsh, Gujrati, Somali, Pahari, punjabi",76
What are Newton’s laws of motion?,8
What is exchange rate?,5
What is a Penalty in Football?,8
Which months of the year does the Northwest Pacific see tropical cyclones?,14
"Classify each of the following exercises as cardio or weights: bench press, running, cycling, squat, jump roping, curl",26
what is the most important thing large language models can do?,12
Give me five books that I should read today.,10
"Tell me whether each of these things smells good or bad: candle, pig, skunk, poop, febreze, incense",26
how many teams relegate from the English premier league?,11
What re the differences between recruiters and sourcers at a company?,13
Who is the greatest basketball player of all time?,10
Where is the Hawkeye Creek Bridge located,8
"When rollerblading which of the following items will protect you from injury and which will not: Helmet, a baseball cap, sunglasses, knee pads, backpack, headphones, and elbow pads?",38
"From the following article, tell me the information related to the most recent year and what the largest number in the article is referring to.",27
Give me a bulleted list of the best chain coffee shops in the United States,16
"Given this paragraph about Thanjavur paintings and its origins, what are the typical features of Thanjavur paintings?",25
What are some former names for the city of Mumbai?,11
Please provided me some context in form of bullet points on Open Doors organisation,14
How is the weather in India?,7
What color is Perpetual Spinach?,9
"What are some of the best things to do in Fort Collins, Colorado?",15
"Who are the main characters on the TV show ""Bluey?""",13
Why we have to work?,6
"you are riding your bicycle to the store and your bicycle has a basket. which of the following items can you take back home? a toothbrush, a TV, a bar of soap, a pair of pants, a pair of skis, a loaf of bread, a tiger, a phone charger",58
"tell me whether these are girl names or boy names: Ali, Billie, Cameron",16
What is the best place to go downhill mountain biking,10
What were the Crusades?,6
"Which is bigger, a lion or a house cat?",11
Who is the St Louis Cardinals?,7
"Tell me which one does not fit with the group:  Blue, Green, White, Yellow",19
What does moha mean,5
What is the highest mountain peak in Kosovo?,9
What are some good costumes I can wear for Halloween? Give me at least five in a bullet list,20
Is it safe for dogs to eat chocolate?,9
How to have an evergreen garden?,7
How many teams are in the MLB National League,9
Where should you go on vacation?,7
What is pisco?,5
How Many Players are there in a Football Team?,10
Why should you use multi factor authentication to secure your computer accounts?,13
What is the Eupithecia spinibarbata,10
What do you know about Apache Spark?,8
Name some of the famous battles from the American Revolutionary War,11
What is the name of the wine that can only be named for its specific growing location in France?,20
"Given a reference text about Teodoro ""Teddy"" de Villa Diaz, tell me how he died and how old he was when he died.",29
What is one of Poseidon's many powers?,10
Give me a list of actors who won an Oscar in the last 5 years.,17
When did the fist episode of Family Guy air?,10
What does the term 'Thala' mean?,10
What is a tornado?,5
What is Java?,4
What are the top 5 soccer(football) leagues in the world?,15
Where is the band Portugal. The Man originally from?,11
"Which of the following does not fit with the others? Please explain your reasoning.
Galaxy M81
Black Eye Galaxy
Pinwheel Galaxy
Andromeda Galaxy
Sombrero Galaxy",37
what is considered the birthplace of mountain biking?,9
"Given this paragraph, where is The Walt Disney Company headquarters?",12
Write a tweet from the perspective of a dog that’s angry about the squirrels in its yard,18
What are the number of provinces in Belgium?,9
What are some must-see places in Romania?,9
What are five fun ideas for a first date?,10
"Given a reference text about Sam McElroy, at what school was he the head football coach and what was his overall record there?",27
"Identify which car manufacturer is British or American: Land Rover, Jeep",13
Who is Lilith?,5
"What is the length of the song ""The New Deal""?",12
What are some advantages of making a painting with acrylic instead of oil paint?,15
How many times Fernando Alonso won the F1 championship ?,11
Why is it good to fly direct?,8
List down some key points about area in geometry from the passage given.,14
"Classify each of the following as either a brass instrument or a woodwind instrument: flute, euphonium, bassoon, trumpet, clarinet, saxophone, tuba.",37
what can you do,4
Where is Tamil language spoken?,6
Extract all the place names from the paragraph. Different places should be separated by comma.,17
"Extract ways to observe a black hole. Separate them with a ""-"" in multiple lines.",17
What activities are popular among tourists visiting the Texas barrier islands?,12
Give me a list of the top 5 Colleen Hoover books,13
Extract the ways the asthma is classified and create a bulleted list.,14
"Are the these examples of deserts or desserts? Cake, pie, cookies, and ice cream.",19
How long has the Masters golf tournament been held?,10
What are the four largest British Virgin Islands?,9
"Based on the text below, how would you explain Archimedes’ principle to a 10 years old child, using the example of an object immersed in water?",33
List the 6 naturally occurring noble gases.,9
"Given a reference text about N.V. Virgin Express S.A., tell me its main hub and when it was founded.",24
What are the top 5 most expensive luxury brands?,11
What is the Tesla Model Y Charging Speed?,9
What colour usually is the wax surrounding Edam cheese?,11
"From the passage provided, extract the difference in caffeine between a light roast and a dark roast.",19
"Given this paragraph about the experiment that led to the discovery of penicillin by Sir Alexander Fleming, tell me upon which types of bacteria penicillin has an anti-bacterial effect, and list the conditions that were necessary for the discovery of penicillin",48
What is the difference between affect and effect?,9
Which were the top 3 nations in the medal tally of World Wrestling Championship 2022,18
"When buying a used car, what are some red flags to look out for?",16
"Ms. Jefferson, a 47-year-old secretary, has contacted you to assess her body composition. Over the years, she has gradually gained weight because of her sedentary lifestyle and changing metabolism. Besides adopting healthy dietary and exercise habits, how can she build self-esteem and improve her body image?",59
"Given this paragraph about the grand Ethiopian renaissance dam, what is the expected power generation on the latest design.",21
"Identify which instrument is string or percussion: Erxian, Alfaia",14
Give me a list of classic English poems with nice message,11
Is there a fast way to put a duvet cover over a duvet?,14
Please provide a list of Michael Jordan's accomplishments in the 1987-1988 NBA basketball season.,21
How much nutritional value do dried fruits retain?,9
Who is Gillian Anderson?,6
What are five hobbies I can do in my spare time?,12
Are rugby and American football similar?,7
Give me some examples of spoonerisms.,9
What is the boarding process at Southwest Airlines,8
"Of the following, identify which are TV shows that originally aired in black-and-white, brands of toothpaste, and places where you can participate in water sports: the beach, The Honeymooners, I Love Lucy, Colgate, Florida, a river, The Munsters, Crest, Aquafresh, a lake, a pool, Rembrandt, The Addams Family",74
What are some things that we can do to help the environment?,13
When in the year 44 BC was Julius Caesar killed?,12
