"original","compression","original_token_count","compression_token_count","compression_ratio","rouge_1","rouge_2","rouge_l"
"When is the best time to see cherry blossom in Japan?","Best time for cherry blossoms in Japan?","12","8","0.67","0.6667","0.5","0.6667"
"Is Python a popular programming language?","Is Python popular?","7","4","0.57","0.6667","0.2857","0.6667"
"Who is the successor of Queen Elizabeth II ?","Elizabeth II's successor?","9","5","0.56","0.5","0.2","0.3333"
"Can foreign nationals get an Aadhaar in India?","Can foreign nationals obtain Aadhaar in India?","10","9","0.9","0.8","0.6154","0.8"
"What are some types of things you can cook at a campfire?","Campfire-cookable foods?","14","7","0.5","0.1333","0.0","0.1333"
"How cloudy is Seattle USA","How cloudy is Seattle USA","5","5","1.0","1.0","1.0","1.0"
"Choose the word which is different from the rest:  Trunk, Tree, Fruit, Leaf, Flower","Choose word different from the rest: Trunk, Tree, Fruit, Leaf, Flower","21","17","0.81","0.88","0.6957","0.88"
"Tell me whether these are fiction or non fiction books: ""To Kill a Mocking Bird"", ""The Lord of the Rings"", ""A Brief History of Time"".","Fiction or non fiction: ""To Kill a Mocking Bird"", ""The Lord of the Rings"", ""A Brief History of Time""","33","28","0.85","0.8636","0.8095","0.8636"
"What are some of the best business podcast to listen to?","Best business podcasts to listen to?","12","7","0.58","0.7059","0.6667","0.7059"
"What are some achievements of the 137th Division","137th Division achievements?","10","5","0.5","0.5455","0.2222","0.3636"
"What is a Put option in finance?","What is a put option?","8","6","0.75","0.8333","0.8","0.8333"
"What should I think about when buying a car (summarization)","What to consider when buying a car (summarization)","14","12","0.86","0.6667","0.5","0.6667"
"What is Ralph Baer famous for?","Ralph Baer famous for?","8","7","0.88","0.8","0.75","0.8"
"Which of these are languages in India and which are not Indian Languages: English, Hindi, Ukranian, French, Spanish, Hindi, Kannada, Tulu, Mandrian, Tamil, Taiwanese, Korean, Japanese, Assamese, Sanskrit, Urdu, Telugu, Russian, German, Italian, Arabic, Dutch, Welsh, Gujrati, Somali, Pahari, punjabi","Classify as Indian vs non-Indian languages: English, Hindi, Ukranian, French, Spanish, Hindi, Kannada, Tulu, Mandrian, Tamil, Taiwanese, Korean, Japanese, Assamese, Sanskrit, Urdu, Telugu, Russian, German, Italian, Arabic, Dutch, Welsh, Gujrati, Somali, Pahari, punjabi","76","72","0.95","0.7838","0.7778","0.7838"
"What are Newton’s laws of motion?","Explain Newton's laws of motion.","8","7","0.88","0.7692","0.7273","0.7692"
"What is exchange rate?","Exchange rate definition?","5","4","0.8","0.5714","0.4","0.5714"
"What is a Penalty in Football?","What is a football penalty?","8","6","0.75","0.9091","0.4444","0.7273"
"Which months of the year does the Northwest Pacific see tropical cyclones?","Which months in the NW Pacific have tropical cyclones?","14","11","0.79","0.5714","0.2105","0.5714"
"Classify each of the following exercises as cardio or weights: bench press, running, cycling, squat, jump roping, curl","Classify each of the following exercises as cardio or weights: bench press, running, cycling, squat, jump roping, curl","26","26","1.0","1.0","1.0","1.0"
"what is the most important thing large language models can do?","What's the most important thing LLMs can do?","12","11","0.92","0.7","0.4444","0.7"
"Give me five books that I should read today.","Recommend five books to read today.","10","7","0.7","0.5333","0.3077","0.5333"
"Tell me whether each of these things smells good or bad: candle, pig, skunk, poop, febreze, incense","Rate smell (good/bad) for: candle, pig, skunk, poop, febreze, incense.","26","24","0.92","0.6429","0.4615","0.6429"
"how many teams relegate from the English premier league?","How many teams are relegated from EPL?","11","9","0.82","0.625","0.4286","0.625"
"What re the differences between recruiters and sourcers at a company?","Differences between recruiters and sourcers at a company?","13","11","0.85","0.8421","0.8235","0.8421"
"Who is the greatest basketball player of all time?","Greatest basketball player of all time?","10","8","0.8","0.8","0.7692","0.8"
"Where is the Hawkeye Creek Bridge located","Hawkeye Creek Bridge location?","8","7","0.88","0.7273","0.6667","0.7273"
"When rollerblading which of the following items will protect you from injury and which will not: Helmet, a baseball cap, sunglasses, knee pads, backpack, headphones, and elbow pads?","Rollerblading: which of these protect from injury and which do not: helmet, baseball cap, sunglasses, knee pads, backpack, headphones, elbow pads?","38","33","0.87","0.7755","0.5532","0.7755"
"From the following article, tell me the information related to the most recent year and what the largest number in the article is referring to.","From the article, provide: (1) info on the most recent year; (2) what the largest number refers to.","27","26","0.96","0.6047","0.439","0.6047"
"Give me a bulleted list of the best chain coffee shops in the United States","Bulleted list of the best chain coffee shops in the U.S.","16","14","0.88","0.7407","0.72","0.7407"
"Given this paragraph about Thanjavur paintings and its origins, what are the typical features of Thanjavur paintings?","From a paragraph on Thanjavur paintings and origins, list typical features.","25","16","0.64","0.5","0.2308","0.5"
"What are some former names for the city of Mumbai?","Former names of Mumbai?","11","5","0.45","0.5714","0.3333","0.5714"
"Please provided me some context in form of bullet points on Open Doors organisation","Bullet-point context on Open Doors organisation.","14","8","0.57","0.6667","0.4211","0.5714"
"How is the weather in India?","Weather in India?","7","4","0.57","0.6667","0.5714","0.6667"
"What color is Perpetual Spinach?","Color of Perpetual Spinach?","9","8","0.89","0.6667","0.2857","0.6667"
"What are some of the best things to do in Fort Collins, Colorado?","Top things to do in Fort Collins, CO?","15","10","0.67","0.5714","0.5263","0.5714"
"Who are the main characters on the TV show ""Bluey?""","Bluey main characters?","13","5","0.38","0.4615","0.1818","0.3077"
"Why we have to work?","Why must we work?","6","5","0.83","0.6667","0.0","0.6667"
"you are riding your bicycle to the store and your bicycle has a basket. which of the following items can you take back home? a toothbrush, a TV, a bar of soap, a pair of pants, a pair of skis, a loaf of bread, a tiger, a phone charger","Bike to store with basket. Which items can you take home? toothbrush, TV, bar of soap, pants, skis, bread, tiger, phone charger","58","31","0.53","0.5634","0.2029","0.5634"
"tell me whether these are girl names or boy names: Ali, Billie, Cameron","Are Ali, Billie, Cameron girl or boy names?","16","11","0.69","0.7619","0.4211","0.4762"
"What is the best place to go downhill mountain biking","Best downhill MTB spots?","10","5","0.5","0.2857","0.0","0.2857"
"What were the Crusades?","Explain the Crusades.","6","5","0.83","0.5714","0.4","0.5714"
"Which is bigger, a lion or a house cat?","Which is bigger, lion or house cat?","11","9","0.82","0.875","0.5714","0.875"
"Who is the St Louis Cardinals?","Who is the St Louis Cardinals?","7","7","1.0","1.0","1.0","1.0"
"Tell me which one does not fit with the group:  Blue, Green, White, Yellow","Which color doesn't fit: Blue, Green, White, Yellow?","19","13","0.68","0.5217","0.2857","0.5217"
"What does moha mean","Moha meaning?","5","4","0.8","0.6667","0.5","0.6667"
"What is the highest mountain peak in Kosovo?","Highest peak in Kosovo?","9","5","0.56","0.6667","0.4","0.6667"
"What are some good costumes I can wear for Halloween? Give me at least five in a bullet list","Halloween costumes; at least five; bullet list.","20","10","0.5","0.5385","0.25","0.4615"
"Is it safe for dogs to eat chocolate?","Can dogs eat chocolate safely?","9","6","0.67","0.6154","0.1818","0.4615"
"How to have an evergreen garden?","How to have an evergreen garden?","7","7","1.0","1.0","1.0","1.0"
"How many teams are in the MLB National League","How many teams are in the MLB National League","9","9","1.0","1.0","1.0","1.0"
"Where should you go on vacation?","Where to vacation?","7","4","0.57","0.4444","0.0","0.4444"
"What is pisco?","What is pisco?","5","5","1.0","1.0","1.0","1.0"
"How Many Players are there in a Football Team?","How many players on a football team?","10","8","0.8","0.75","0.5714","0.75"
"Why should you use multi factor authentication to secure your computer accounts?","Why use MFA to secure your computer accounts?","13","9","0.69","0.7","0.4444","0.7"
"What is the Eupithecia spinibarbata","What is the Eupithecia spinibarbata","10","10","1.0","1.0","1.0","1.0"
"What do you know about Apache Spark?","Apache Spark knowledge?","8","4","0.5","0.4","0.25","0.4"
"Name some of the famous battles from the American Revolutionary War","List famous battles of the American Revolutionary War.","11","9","0.82","0.7368","0.5882","0.6316"
"What is the name of the wine that can only be named for its specific growing location in France?","Which French wine is named only after its exact growing location?","20","12","0.6","0.4667","0.0714","0.4"
"Given a reference text about Teodoro ""Teddy"" de Villa Diaz, tell me how he died and how old he was when he died.","From reference text on Teodoro 'Teddy' de Villa Diaz, state his cause of death and age.","29","22","0.76","0.4103","0.2703","0.4103"
"What is one of Poseidon's many powers?","Name one of Poseidon's powers.","10","8","0.8","0.7143","0.5","0.7143"
"Give me a list of actors who won an Oscar in the last 5 years.","List actors who won an Oscar in the last 5 years.","17","13","0.76","0.8462","0.75","0.8462"
"When did the fist episode of Family Guy air?","When did the fist episode of Family Guy air?","10","10","1.0","1.0","1.0","1.0"
"What does the term 'Thala' mean?","What does Thala mean?","10","6","0.6","0.8","0.5","0.8"
"What is a tornado?","Tornado definition?","5","4","0.8","0.3333","0.0","0.3333"
"What is Java?","Java definition?","4","3","0.75","0.4","0.0","0.4"
"What are the top 5 soccer(football) leagues in the world?","Top 5 soccer/football leagues worldwide?","15","9","0.6","0.5882","0.5333","0.5882"
"Where is the band Portugal. The Man originally from?","Where is Portugal. The Man originally from?","11","9","0.82","0.875","0.7143","0.875"
"Which of the following does not fit with the others? Please explain your reasoning.
Galaxy M81
Black Eye Galaxy
Pinwheel Galaxy
Andromeda Galaxy
Sombrero Galaxy","Odd one out: Galaxy M81, Black Eye Galaxy, Pinwheel Galaxy, Andromeda Galaxy, Sombrero Galaxy. Explain why.","37","29","0.78","0.5854","0.5128","0.5366"
"what is considered the birthplace of mountain biking?","Birthplace of mountain biking?","9","6","0.67","0.6667","0.6","0.6667"
"Given this paragraph, where is The Walt Disney Company headquarters?","Given this paragraph, where is The Walt Disney Company headquarters?","12","12","1.0","1.0","1.0","1.0"
"Write a tweet from the perspective of a dog that’s angry about the squirrels in its yard","Tweet as a dog, angry about the squirrels in its yard.","18","13","0.72","0.6897","0.5185","0.6897"
"What are the number of provinces in Belgium?","How many provinces are there in Belgium?","9","8","0.89","0.5333","0.1538","0.4"
"What are some must-see places in Romania?","Must-see places in Romania?","9","6","0.67","0.7692","0.7273","0.7692"
"What are five fun ideas for a first date?","Five fun first-date ideas?","10","6","0.6","0.7143","0.3333","0.5714"
"Given a reference text about Sam McElroy, at what school was he the head football coach and what was his overall record there?","Given a reference text about Sam McElroy, at what school was he the head football coach and what was his overall record there?","27","27","1.0","1.0","1.0","1.0"
"Identify which car manufacturer is British or American: Land Rover, Jeep","Which is British or American: Land Rover, Jeep?","13","11","0.85","0.8421","0.7059","0.8421"
"Who is Lilith?","Lilith?","5","3","0.6","0.5","0.0","0.5"
"What is the length of the song ""The New Deal""?","Length of song ""The New Deal""?","12","8","0.67","0.75","0.5714","0.75"
"What are some advantages of making a painting with acrylic instead of oil paint?","Advantages of painting with acrylics vs oil paints?","15","10","0.67","0.6364","0.4","0.6364"
"How many times Fernando Alonso won the F1 championship ?","How many F1 titles does Fernando Alonso have?","11","10","0.91","0.5882","0.2667","0.4706"
"Why is it good to fly direct?","Advantages of direct flights?","8","5","0.62","0.1818","0.0","0.1818"
"List down some key points about area in geometry from the passage given.","List key points about area in geometry from the given passage.","14","12","0.86","0.9167","0.6364","0.8333"
"Classify each of the following as either a brass instrument or a woodwind instrument: flute, euphonium, bassoon, trumpet, clarinet, saxophone, tuba.","Classify as brass or woodwind: flute, euphonium, bassoon, trumpet, clarinet, saxophone, tuba.","37","28","0.76","0.7273","0.3871","0.7273"
"what can you do","what can you do","4","4","1.0","1.0","1.0","1.0"
"Where is Tamil language spoken?","Where is Tamil spoken?","6","5","0.83","0.8889","0.5714","0.8889"
"Extract all the place names from the paragraph. Different places should be separated by comma.","Extract all place names from the paragraph; comma-separated.","17","11","0.65","0.75","0.4545","0.6667"
"Extract ways to observe a black hole. Separate them with a ""-"" in multiple lines.","List ways to observe a black hole; separate with '-' on separate lines.","17","15","0.88","0.6923","0.5","0.6923"
"What activities are popular among tourists visiting the Texas barrier islands?","Popular activities for tourists visiting the Texas barrier islands?","12","10","0.83","0.8","0.5556","0.7"
"Give me a list of the top 5 Colleen Hoover books","Top 5 Colleen Hoover books","13","7","0.54","0.625","0.5714","0.625"
"Extract the ways the asthma is classified and create a bulleted list.","Extract asthma classifications; provide a bulleted list.","14","10","0.71","0.5263","0.2353","0.5263"
"Are the these examples of deserts or desserts? Cake, pie, cookies, and ice cream.","Are these examples deserts or desserts: cake, pie, cookies, and ice cream?","19","17","0.89","0.9231","0.75","0.9231"
"How long has the Masters golf tournament been held?","How long has the Masters Tournament been held?","10","9","0.9","0.9412","0.8","0.9412"
"What are the four largest British Virgin Islands?","Four largest British Virgin Islands?","9","6","0.67","0.7692","0.7273","0.7692"
"Based on the text below, how would you explain Archimedes’ principle to a 10 years old child, using the example of an object immersed in water?","Based on the text below, explain Archimedes’ principle to a 10-year-old using an object immersed in water.","33","25","0.76","0.8444","0.6977","0.8444"
"List the 6 naturally occurring noble gases.","List 6 naturally occurring noble gases.","9","8","0.89","0.9231","0.7273","0.9231"
"Given a reference text about N.V. Virgin Express S.A., tell me its main hub and when it was founded.","From reference text on N.V. Virgin Express S.A., provide its main hub and founding year.","24","20","0.83","0.6842","0.5","0.6842"
"What are the top 5 most expensive luxury brands?","Top 5 most expensive luxury brands?","11","8","0.73","0.8","0.7692","0.8"
"What are the main reasons Parisians want electric scooters to be banned according to the following article?
 
Parisians are voting on Sunday on whether to rid the streets of the French capital of electric scooters, although some say the city’s leaders ought to be focusing on more pressing issues.

Paris was a pioneer when it introduced e-scooters, or trottinettes, in 2018 as the city’s authorities sought to promote non-polluting forms of urban transport.

But as the two-wheeled vehicles grew in popularity, especially among young people, so did the number of accidents: in 2022, three people died and 459 were injured in e-scooter accidents in Paris.

In what is being billed as a “public consultation” voters are being asked: “For or against self-service scooters?”

Twenty-one polling stations have been set up across the city and will be open until 7pm local time, with the result expected at around 10pm.

Electric scooters available for rent on the Place du Trocadero, Paris.
E-scooters: a tale of two cities as London and Paris plot different paths
Read more
Although 1.6 million people are eligible to vote, turnout is expected to be low.

Paris’s socialist mayor, Anne Hidalgo, has promoted cycling and bike-sharing but supports a ban on e-scooters.

In an interview with Agence France-Presses last week, Hidalgo said “self-service scooters are the source of tension and worry” for Parisians and that a ban would “reduce nuisance” in public spaces. However, she promised to respect the outcome of the vote even if it is not legally binding.

Paris has almost 15,000 e-scooters across its streets, operated by companies including Lime, Dott and Tier.

Detractors argue that e-scooter users disrespect the rules of the road and regularly flout a ban on riding on pavements. The vehicles are also often haphazardly parked or thrown into the River Seine.

In June 2021, a 31-year-old Italian woman was killed after being hit by an e-scooter with two passengers onboard while walking along the Seine.

“Scooters have become my biggest enemy. I’m scared of them,” Suzon Lambert, a 50-year-old teacher from Paris, told AFP. “Paris has become a sort of anarchy. There’s no space any more for pedestrians.”

Another Parisian told BFMTV: “It’s dangerous, and people use them badly. I’m fed up.”

Julian Sezgin, aged 15, said he often saw groups of two or three teenagers on e-scooters zooming past cars on busy roads. “I avoid going on e-scooters and prefer e-bikes as, in my opinion, they are safer and more efficient,” he told the Guardian.","From the article, list the main reasons Parisians want a ban on self-service e-scooters: safety concerns (accidents/injuries/fatalities); public-space nuisance; rule violations (riding on pavements, ignoring traffic rules); improper parking (blocked sidewalks, Seine); impact on pedestrians; include residents’ quotes.","585","68","0.12","0.1145","0.0452","0.0818"
"What is the Tesla Model Y Charging Speed?","Tesla Model Y charging speed?","9","6","0.67","0.7692","0.7273","0.7692"
"What colour usually is the wax surrounding Edam cheese?","Typical wax color of Edam cheese?","11","8","0.73","0.4","0.1538","0.4"
"From the passage provided, extract the difference in caffeine between a light roast and a dark roast.","From the passage provided, extract the caffeine difference between light and dark roasts.","19","16","0.84","0.8667","0.4286","0.8"
"Given this paragraph about the experiment that led to the discovery of penicillin by Sir Alexander Fleming, tell me upon which types of bacteria penicillin has an anti-bacterial effect, and list the conditions that were necessary for the discovery of penicillin","From this paragraph about Sir Alexander Fleming's penicillin discovery experiment, specify which bacteria penicillin is antibacterial against, and list the conditions necessary for its discovery.","48","31","0.65","0.5588","0.2727","0.4706"
"What is the difference between affect and effect?","Difference between affect and effect?","9","6","0.67","0.7692","0.7273","0.7692"
"Which were the top 3 nations in the medal tally of World Wrestling Championship 2022","Top 3 nations in the 2022 World Wrestling Championship medal tally.","18","15","0.83","0.8462","0.5833","0.6154"
"When buying a used car, what are some red flags to look out for?","Used car buying red flags?","16","6","0.38","0.5263","0.2353","0.4211"
"Ms. Jefferson, a 47-year-old secretary, has contacted you to assess her body composition. Over the years, she has gradually gained weight because of her sedentary lifestyle and changing metabolism. Besides adopting healthy dietary and exercise habits, how can she build self-esteem and improve her body image?","Ms. Jefferson, 47, secretary, seeks body composition assessment. Gradual weight gain from sedentary lifestyle and metabolic changes. Beyond healthy diet and exercise, how can she build self-esteem and improve body image?","59","43","0.73","0.6914","0.3291","0.6173"
"Given this paragraph about the grand Ethiopian renaissance dam, what is the expected power generation on the latest design.","From the Grand Ethiopian Renaissance Dam paragraph, what's the latest design's expected power generation?","21","17","0.81","0.7429","0.4848","0.5714"
"Identify which instrument is string or percussion: Erxian, Alfaia","Erxian, Alfaia: string or percussion","14","10","0.71","0.7143","0.5","0.4286"
"Give me a list of classic English poems with nice message","List classic English poems with uplifting message.","11","8","0.73","0.6667","0.375","0.6667"
"Is there a fast way to put a duvet cover over a duvet?","Fast method to put duvet cover on duvet?","14","9","0.64","0.5714","0.2105","0.5714"
"Please provide a list of Michael Jordan's accomplishments in the 1987-1988 NBA basketball season.","List Michael Jordan's 1987-88 NBA season accomplishments.","21","13","0.62","0.64","0.1739","0.56"
"How much nutritional value do dried fruits retain?","Nutritional retention of dried fruits?","9","8","0.89","0.4615","0.1818","0.4615"
"Who is Gillian Anderson?","Who is Gillian Anderson?","6","6","1.0","1.0","1.0","1.0"
"What are five hobbies I can do in my spare time?","Five spare-time hobbies?","12","5","0.42","0.5333","0.1538","0.4"
"Are rugby and American football similar?","Are rugby and American football similar?","7","7","1.0","1.0","1.0","1.0"
"Give me some examples of spoonerisms.","Provide spoonerism examples.","9","6","0.67","0.4444","0.0","0.2222"
"What is the boarding process at Southwest Airlines","Southwest Airlines boarding process?","8","6","0.75","0.6667","0.4","0.3333"
"Of the following, identify which are TV shows that originally aired in black-and-white, brands of toothpaste, and places where you can participate in water sports: the beach, The Honeymooners, I Love Lucy, Colgate, Florida, a river, The Munsters, Crest, Aquafresh, a lake, a pool, Rembrandt, The Addams Family","The Honeymooners, I Love Lucy, The Addams Family Colgate, Crest, Aquafresh, Rembrandt the beach, a river, a lake, a pool","74","35","0.47","0.5714","0.3824","0.3429"
"What are some things that we can do to help the environment?","What can we do to help the environment?","13","9","0.69","0.8","0.4444","0.7"
"When in the year 44 BC was Julius Caesar killed?","When in 44 BC was Julius Caesar killed?","12","10","0.83","0.8889","0.75","0.8889"
"How much of the land of Swiftwater community is forested land and how much of it is wetland?","What percent of Swiftwater community's land is forested, and what percent is wetland?","22","19","0.86","0.5625","0.2667","0.5"
"Choose the word which is different from the rest: Emu, Ostrich, Kiwi, Eagle","Odd one out: Emu, Ostrich, Kiwi, Eagle","19","13","0.68","0.4","0.3333","0.4"
"Should I use a dynamic microphone or a condenser microphone for recording a podcast? What about streaming on twitch or making youtube videos? Should I ever use a ribbon microphone?","Dynamic vs condenser for podcast; Twitch/YouTube streaming; when to use a ribbon mic?","33","19","0.58","0.4545","0.0952","0.4091"
"What is a bank run?","Define bank run","6","3","0.5","0.5","0.3333","0.5"
"What are the three main states of matter and how does it transition between them?","What are the three main states of matter and how does it transition between them?","16","16","1.0","1.0","1.0","1.0"
"When was Mar-a-Lago built?","When was Mar-a-Lago built","8","7","0.88","1.0","1.0","1.0"
"What is ""Breaking Bad""?","What is Breaking Bad?","6","5","0.83","1.0","1.0","1.0"
"Who did the USA beat in Women's World Cup final in 2019?","Who did USA beat in 2019 Women's World Cup final?","15","13","0.87","0.9167","0.7273","0.8333"
"What are the key components of Hadoop?","Key components of Hadoop?","8","5","0.62","0.7273","0.6667","0.7273"
"Which USA government agency is responsible for preventing diseases?","Which US government agency prevents diseases?","10","7","0.7","0.6667","0.3077","0.6667"
"What is the lowest point on Earth?","Lowest point on Earth?","8","5","0.62","0.7273","0.6667","0.7273"
"What do the Olympic rings mean?","Meaning of Olympic rings?","7","5","0.71","0.6","0.25","0.4"
"How did Legos get their name?","LEGO name origin?","8","5","0.62","0.4444","0.0","0.4444"
"How many types of bass are there?","How many bass types?","8","5","0.62","0.7273","0.2222","0.5455"
"Classify each of the following bands as Classic Rock , or not: Led Zeppelin, Jimi Hendrix, Journey, Rolling Stones, Miley Cyrus, Taylor Swift, Aerosmith","Classify each band as Classic Rock or not: Led Zeppelin, Jimi Hendrix, Journey, Rolling Stones, Miley Cyrus, Taylor Swift, Aerosmith","34","30","0.88","0.9302","0.878","0.9302"
"Do I need diverter to charge my car using excess generated power from solar panels?","Do I need a diverter to charge my car with excess solar power?","17","15","0.88","0.7857","0.4615","0.7143"
"What types of Barbecue (BBQ) are there?","What BBQ types exist?","12","5","0.42","0.5455","0.0","0.3636"
"Classify these cities into the countries that they are in.
Paris, Munich, Frankfurt, Nice, Lyon, Dresden","Classify these cities by country: Paris, Munich, Frankfurt, Nice, Lyon, Dresden.","23","19","0.83","0.7407","0.56","0.7407"
"Given this paragraph, how big are the non-volley zones in pickleball and where are they located?","From this paragraph, what is the size and location of pickleball non-volley zones?","21","18","0.86","0.5806","0.2069","0.3871"
"What is s3 equivalent in Azure?","S3 equivalent in Azure?","8","6","0.75","0.8","0.75","0.8"
"Who is best Alexa or Siri","Alexa or Siri best?","6","5","0.83","0.8","0.5","0.6"
"Who won the 2022 NBA Finals MVP?","2022 NBA Finals MVP winner?","10","7","0.7","0.6667","0.6","0.6667"
"Create a 5 day itinerary for a trip to Japan. Include visits to famous locations in Japan, and include a day-by-day breakdown of some activities to do and sites to visit.","5-day Japan itinerary; include famous sites; day-by-day breakdown of activities and sites to visit.","37","20","0.54","0.64","0.3333","0.6"
"What are three common alarm clock sounds?","Three common alarm clock sounds?","8","6","0.75","0.8333","0.8","0.8333"
"What is a stock in finance?","What is a stock in finance?","7","7","1.0","1.0","1.0","1.0"
"Maurice Micklewhite became famous as who","Maurice Micklewhite became famous as who","9","9","1.0","1.0","1.0","1.0"
"Complete the joke 'A Large Language Model enters a bar'","Complete joke: A Large Language Model enters a bar.","12","11","0.92","0.9474","0.8235","0.9474"
"Give me a list of some preparations in which stracchino cheese is used/","List preparations using stracchino cheese.","17","9","0.53","0.5556","0.125","0.4444"
"Is a jaguar a big cat or a small cat?","Jaguar: big or small cat?","12","8","0.67","0.6667","0.1538","0.6667"
"Where is Lugașu de Jos","Lugașu de Jos location","8","7","0.88","0.7273","0.6667","0.7273"
"Name three different bug type Pokemon.","Name three different bug type Pokemon.","7","7","1.0","1.0","1.0","1.0"
"Which dragon in Game of Thrones was reanimated as a wight?","Which GoT dragon was reanimated as a wight?","14","12","0.86","0.7368","0.4706","0.7368"
"What does RAND Corporation do?","RAND Corporation activities?","6","4","0.67","0.5","0.3333","0.5"
"What is process manufacturing?","Process manufacturing definition?","5","4","0.8","0.5714","0.4","0.5714"
"Where is Smuggler Cove Shell Midden located?","Smuggler Cove Shell Midden location?","10","8","0.8","0.8333","0.8","0.8333"
"Who was the first couple to win the Nobel prize?","Who was the first couple to win the Nobel prize?","11","11","1.0","1.0","1.0","1.0"
"Give me a list of 7 continents in the world in alphabetical order.","List 7 continents in alphabetical order.","15","8","0.53","0.6316","0.4706","0.6316"
"Why is it so hard now to name a favorite musician?","Why is it so hard now to name a favorite musician?","12","12","1.0","1.0","1.0","1.0"
"Which is a species of fish? Pickerel or Pickle","Which is a species of fish? Pickerel or Pickle","12","12","1.0","1.0","1.0","1.0"
"What are some good activities to keep kids busy while traveling?","Activities to keep kids busy while traveling?","12","8","0.67","0.7778","0.75","0.7778"
"Who are Daenerys Targaryen's dragons named after?","Who are Daenerys' dragons named after?","14","10","0.71","0.8571","0.6667","0.8571"
"Identify which animal species is alive or extinct: Eryops, Bluefin Tuna","Alive or extinct: Eryops, Bluefin Tuna","16","11","0.69","0.7059","0.6667","0.7059"
"What is the best party to vote for in the US?","Best US political party to vote for?","12","8","0.67","0.6667","0.375","0.5556"
"Provide for me, in a bulleted list, seven sports that have been removed from the Olympics","Seven sports removed from the Olympics, in a bulleted list.","19","13","0.68","0.7692","0.5833","0.4615"
"Please tell me a little bit about the personal lives of the best hockey players at this time.","Briefly discuss the personal lives of current top hockey players.","19","12","0.63","0.4286","0.3077","0.4286"
"How many players participate in an ultimate frisbee game?","Ultimate Frisbee players per game?","11","7","0.64","0.5714","0.1667","0.4286"
"Classify each of the following as either a fruit or a vegetables: tomato, apple, orange, potato, banana.","Classify as fruit or vegetable: tomato, apple, orange, potato, banana.","24","17","0.71","0.7407","0.48","0.7407"
"Given a reference text about S26, tell me where it begins and ends.","S26 reference text: identify its start and end.","16","11","0.69","0.4762","0.2105","0.381"
"Given this information about the players championship tournament, what were the weather conditions on March 20th 1977?","Weather on March 20, 1977 at the Players Championship.","23","14","0.61","0.5385","0.25","0.3077"
"Without quoting directly from the text give me a summary of what a restricted Boltzmann machine is?","Summarize a restricted Boltzmann machine without direct quotes.","20","13","0.65","0.48","0.2609","0.32"
"Tell me whether these are different types of galaxies or different types of ecosystems: Forest, Grassland, Irregular, Spiral, Aquatic, Desert, Elliptical, Tundra, Marine","Galaxy or ecosystem: Forest, Grassland, Irregular, Spiral, Aquatic, Desert, Elliptical, Tundra, Marine","39","28","0.72","0.6857","0.6061","0.6857"
"Extract the different foods a giant panda eats from this passage in wild and captive. Place them in two separate bulleted lists with heading as 'Wild' and 'Captive'","Extract the different foods a giant panda eats from this passage, wild and captive; two separate bulleted lists with headings 'Wild' and 'Captive'.","35","31","0.89","0.902","0.7755","0.902"
"What are some arguments for decriminalizing people selling sex while criminalizing the purchasing of sex?","What are some arguments for decriminalizing sex workers and criminalizing sex buyers?","19","16","0.84","0.6667","0.4","0.6667"
"What are the words of House Lannister?","Lannister motto?","10","5","0.5","0.2222","0.0","0.2222"
"Identify which animal is domesticated or wild: Canary, Green pheasants","Domestic or wild: Canary, Green pheasants","15","10","0.67","0.75","0.7143","0.75"
"How did India get independence from colonial rule","Explain India's independence from colonial rule.","8","7","0.88","0.6667","0.4615","0.6667"
"Classify each of the following as a weapon or a toy: gun, lego, knife, bomb, blocks, doll","Weapon or toy: gun, lego, knife, bomb, blocks, doll","24","15","0.62","0.6923","0.5833","0.6923"
"Why is music so special?","Why is music special?","6","5","0.83","0.8889","0.5714","0.8889"
"What are the five biggest centers of Sufism?","Five largest centers of Sufism?","11","8","0.73","0.6154","0.3636","0.6154"
"What is does ELT stand for?","What does ELT stand for?","8","7","0.88","0.9091","0.6667","0.9091"
"What is the difference between a dialect and an accent?","Difference between dialect and accent?","11","6","0.55","0.6667","0.3077","0.6667"
"What’s your favorite way to spend a day off?","Favorite way to spend a day off?","11","8","0.73","0.8235","0.8","0.8235"
"Who is the best ever President of the United States ?","Who is the best ever President of the United States ?","11","11","1.0","1.0","1.0","1.0"
"Why do people hate pineapple on pizza?","Why do people hate pineapple on pizza","8","7","0.88","1.0","1.0","1.0"
"What was Meghan Markle's royal title?","Meghan Markle's royal title?","8","7","0.88","0.8333","0.8","0.8333"
"What singer was born Georgios Kyriacos Panayiotou?","Singer born Georgios Kyriacos Panayiotou?","14","12","0.86","0.8333","0.6","0.8333"
"What is the Firefly Music Festival?","What is the Firefly Music Festival?","8","8","1.0","1.0","1.0","1.0"
"What is a prime number?","Prime number definition?","6","4","0.67","0.5","0.3333","0.5"
"Name some of Sweden's most famous companies","List Sweden's most famous companies.","8","7","0.88","0.7143","0.6667","0.7143"
"Name some plays that were written by Shakespeare","Name some Shakespeare plays.","8","5","0.62","0.6667","0.2","0.5"
"What are four reasons why you have a car on your front lawn?","List four reasons you have a car on your front lawn.","14","12","0.86","0.8333","0.7273","0.8333"
"Give me a bulleted list of the current members of Pearl Jam.","Bulleted list of Pearl Jam's current members.","14","10","0.71","0.7","0.5556","0.5"
