original,original_token_count,compressed,compressed_token_count
Do you think depression ran in Wittgenstein's family?,13,Do you think depression ran in Wittgenstein's family,12
From the passage note down the valuation of NFT trade for the year 2020 and 2021. List the results in format ‘Year: Value‘.,31,"From passage, note NFT trade valuation for 2020 and 2021; format as 'Year: Value'",23
Which player scored the Premier League winning goal for Manchester City vs. QPR in 2012?,20,Who scored Man City’s PL winning goal vs QPR in 2012,17
Why does Nadal play tennis left-handed?,11,Why does Nadal play tennis left-handed,10
How is beer made?,5,How is beer made,4
"Holidays such as Christmas, Easter and Halloween are associated with themes. Sort the following items into the holiday with which they are most frequently associated: elves, chocolate, presents, pumpkin, rabbit, candy, pilgrim, egg, Santa, Jesus, hot-crossed buns, and reindeer",63,"Sort items by holiday they’re most associated with: elves, chocolate, presents, pumpkin, rabbit, candy, pilgrim, egg, Santa, Jesus, hot-crossed buns, reindeer",44
Why is sailing so much fun?,7,Why is sailing so fun,5
"Hello, my family and I recently went to the zoo and saw a number of animals.  Please identify the animals in this summary and organize them in order of size.  My son's favorite animal is an elephant, and he saw an elephant in the grassland.  My wife caught a parakeet trying to eat our popcorn.  My daughter was scared by lion that she saw on the prairie.  I missed all of these animals and only saw a boa constrictor in an a cage.",111,"Identify animals mentioned in this summary and sort by size: elephant (son's favorite; seen in grassland), parakeet (wife observed trying to eat popcorn), lion (daughter scared; seen on prairie), boa constrictor (saw in cage; I missed all others)",65
Seven Wonders of the Underwater World,8,Seven Underwater Wonders,5
Please give me a short bulleted list of the major achievements Taylor Swift has achieved.,19,Provide concise bulleted list of Taylor Swift's major achievements,13
What is functional genomics?,6,Define functional genomics,5
Who is Robert Kiyosaki?,9,Who is Robert Kiyosaki,8
Why 2 is greater than 3?,7,Why is 2 > 3,5
What is a grocery store?,7,Grocery store definition,5
"Identify which instrument is string or percussion: Maraca, Valiha",17,"Classify as string or percussion: Maraca, Valiha",15
What was Tyson Fury's fight record as an amateur?,14,Tyson Fury amateur record,6
Extract the list of players mentioned in the text. Separate them with a comma.,21,Extract players from text; comma-separated,14
What makes the platypus such an interesting animal?,11,Why is platypus interesting,6
What is Central Park?,5,Describe Central Park,4
What is a trumpet?,6,Define trumpet,3
What is a rocking chair?,8,Rocking chair definition,4
How can I decide what bike I should get?,10,How to decide which bike to buy,7
What is an adjacency list?,9,Adjacency list,5
What is accessibility?,4,Define accessibility,3
What are the main football teams in the city of Madrid?,12,Madrid's main football teams,6
"Tell me which of the following guitars are hollow bodies or not: Gibson ES-175, Gibson ES-335, Gibson SG, Gibson Les Paul, Fender Stratocaster, Fender Telecaster.",44,"Which of these guitars are hollow-body? Gibson ES-175, Gibson ES-335, Gibson SG, Gibson Les Paul, Fender Stratocaster, Fender Telecaster",39
In which country is Jean Marie Ralph Féthière a politician?,15,Country where Jean Marie Ralph Féthière is politician,11
What kind of dog should I get?,8,What dog should I get,5
"What are five totally distinct, creative ways to describe the usefulness of a child's imagination?",21,"Five distinct, creative ways to describe child's imagination's usefulness",15
"Identify which animal species is alive or extinct: Xenoposeidon, Sloth",22,"Alive or extinct: Xenoposeidon, Sloth",17
What is the best bidding system in duplicate bridge?,11,Best bidding system for duplicate bridge,7
What are three ways to build a pillow fort?,12,Three ways to build pillow fort,7
Who are the Wagner group,5,Who are Wagner group,4
"Choose the word which is different from the rest: Barley, Rice, Wheat, Mustard, Bajra.",25,"Odd one out: Barley, Rice, Wheat, Mustard, Bajra",19
Is Castle Island really an Island?,8,Is Castle Island really Island,6
"Identify which animal is domesticated or wild: Arabian camel, European fallow",18,"Domesticated or wild: Arabian camel, European fallow",13
List some TV shows that Canadian actor William B. Davis has been in.,15,List TV shows featuring Canadian actor William B. Davis,10
Who wrote Beloved?,7,Beloved author,5
Who let the dogs out?,6,Who let dogs out,4
Give me a list of five films made in the 1950s whose stars are still alive,19,List five 1950s films with living stars,8
What is the smallest state in the United States?,11,Smallest U.S. state,7
Is it acceptable to sign a cappella (without musical accompaniment) at a community musical theater audition?,24,Is signing cappella (no accompaniment) acceptable at community musical theater audition,17
"Classify each of the following dishes as either 'Indian', 'Italian', 'Latin American', 'African' or 'Neither' based on their cuisine. Biriyani, Pasta, Dosa, Risotto, Burger, Lasagne, Tajine,  Empanadas, Tacos",81,"Classify these dishes by cuisine (Indian, Italian, Latin American, African, Neither): Biriyani, Pasta, Dosa, Risotto, Burger, Lasagne, Tajine, Empanadas, Tacos",55
What to do when you are bored?,8,What to do when bored,5
What factors are identified as contributing to growth and development in early childhood?,14,What factors contribute to growth and development in early childhood,10
"What are the titles to the six volumes of Sir Winston Churchill's ""The Second World War""?",22,List titles of six volumes of Sir Winston Churchill's Second World War,15
"Based on this paragraph, please summarize Cormac McCarthy's use of punctuation.",18,Summarize Cormac McCarthy's punctuation from this paragraph,14
How does the German voting system work?,8,Explain German voting system,4
Who was given Stockholm Water Prize 2022 ?,10,Stockholm Water Prize 2022 winner,6
"If my car is broken while I am riding on the Highway, what should I do?",18,Car breaks down on highway; what do I do,10
Write a friendly email to my neighbor asking them to keep the noise down after 10pm on Weekdays.,23,Draft friendly email to my neighbor requesting quiet after 10pm on weekdays,16
What is the best way to put a toddler to sleep at night?,15,Best way to put toddler to sleep at night,9
"In the series A Song of Ice and Fire, who is the founder of House Tarly?",19,Who founded House Tarly in ASOIAF,10
What was unique about Scrubs?,8,What's unique about Scrubs,8
How many octaves does a harpsichord have?,19,Harpsichord octaves,11
Who were the Pilgrims and what holiday is typically associated with them?,16,Who were Pilgrims and what holiday is typically associated with them,14
"Who was charged in August 1902, under the Offences against the Person Act 1861 with incitement to murder?",26,Who was charged in August 1902 under OAPA 1861 for incitement to murder,18
Please list all the emperors in the following passage,12,List all emperors in following passage,9
"From the paragraph provided, extract the mechanisms of heat transfer.",12,"From paragraph provided, extract heat-transfer mechanisms",10
What does your vacation rental have to offer?,9,What does your vacation rental offer,6
Is GitHub Actions are free?,9,Are GitHub Actions free,6
"Classify the cities based on whether they are located in Slovakia or Croatia.
Košice, Bratislava, Zagreb, Split, Petržalka, Rijeka",40,"Classify each city by country: Slovakia or Croatia; Košice, Bratislava, Zagreb, Split, Petržalka, Rijeka",35
Which is a species of fish? Rohu or Naked Mole,15,Fish species: Rohu or Naked Mole,10
What is the purpose of using Terraform modules ?,11,Why use Terraform modules,5
Write an email to a landlord asking to replace a kitchen sink,14,Write email to landlord requesting kitchen sink replacement,9
What are some examples of movies that won best picture in the 1990s?,15,Best Picture winners in 1990s,6
When is the best time to visit Chicago?,9,Best time to visit Chicago,5
Why do people watch the English Premier League more than any other soccer league in the world?,18,Why do people watch English Premier League more than any other soccer league worldwide,14
Write a review of Neil Gaiman's book American Gods.,16,Review American Gods by Neil Gaiman,9
What does SRO mean for concert tickets?,9,SRO meaning for concert tickets,6
Summarize the main components of a Kubernetes cluster control plane from this paragraph,20,Summarize main components of Kubernetes cluster control plane from this paragraph,17
Should I buy a Shinkansen Rail Pass if I visit Japan?,17,Should I buy Shinkansen Rail Pass when visiting Japan,12
When and where was Lyubomir Nikolov Vladikin born?,17,When and where was Lyubomir Nikolov Vladikin born,16
List the items you need to play pickleball,10,List items needed to play pickleball,8
"Tell me whether these are books by black authors: I Know Why the Caged Bird Sings, Homegoing, Between the World and Me, Becoming, Beloved, The Color Purple.",42,Are these books by Black authors: I Know Why Caged Bird Sings; Homegoing; Between World and Me; Becoming; Beloved; Color Purple,35
Think up different ways to make a baby stop crying.,12,List methods to stop baby from crying,7
Which U.S president had a home called The Hermitage?,15,Which US president had home named Hermitage,9
What are the ingredients in panch phuran?,12,Panch phuran ingredients,7
"In Digital Marketing, what is the difference between SEO and SEM?",14,Difference between SEO and SEM in digital marketing,9
What is the difference between the Masters and the U.S. Open in golf?,17,Difference between Masters and U.S. Open (golf),13
How are Social Security and Medicare in the USA funded?,11,How are Social Security and Medicare funded in USA,9
Give me a list of ten vegetables that are green.,13,List 10 green vegetables,4
"What is the name of the gruff and tough female Viper pilot on the 2003 reboot of ""Battlestar Galactica""?",29,Name of gruff and tough female Viper pilot in 2003 Battlestar Galactica reboot,18
What's the best way to potty train a puppy?,15,Best potty-training method for puppy,9
Where does the word plumbing originate from?,8,Origin of word plumbing,4
What is a Romance language?,8,What is Romance language,5
what type of economy is China?,7,China economy type,3
Why is aluminum wiring in a home dangerous?,10,Why is aluminum home wiring dangerous,6
I need to plan a wedding and I have no idea where to start. Will you help me brainstorm a few things I should do?,29,Wedding planning; starting from scratch. Brainstorm initial steps,11
"I have 3 apples, Jack has 4 pears and Jill has 5 books. After I ate two of Jack's pears, how many fruits we have in total now?",38,"I have 3 apples; Jack has 4 pears; Jill has 5 books. After I ate 2 of Jack's pears, how many fruits in total now",35
"Who founded the city of Price, Quebec?",9,"Who founded Price, Quebec",5
"Based on the reference text, why was the eastern section of the bridge rebuilt?",16,"Per reference text, why was east bridge section rebuilt",10
What are all the different types of alpaca breeds?,13,All alpaca breeds,6
"Provide a short review for a Japanese restaurant called Honto in Brisbane. It was a little hard to find as it is in a backstreet, but we found it without too much trouble. Be sure to mention it was very atmospheric and that the food was great.",57,"Provide short review of Honto, Japanese restaurant in Brisbane. Backstreet location; bit hard to find but found. Mention it was very atmospheric and food was great",33
"From this summary of how Bilbo found the Ring in The Hobbit, how did Bilbo beat Gollum at the Riddle game?",31,"From this Hobbit Ring summary, how did Bilbo beat Gollum at Riddle game",20
Extract the platforms that the game can be played on and separate them with a comma.,21,Extract game platforms and comma-separate them,14
When was the first Academy Awards?,7,First Academy Awards date,4
What are the top largest economies in the world?,10,Top largest economies in world,5
Which is a species of fish? Tarp or Carp,13,Which is species of fish? Tarp or Carp,11
Extract the names of all of the albums that Taylor Swift has released. Separate them with a comma.,25,"List all Taylor Swift albums, comma-separated",15
Did Ghana lose by 100 against India in a soccer game?,13,Did Ghana lose by 100 against India in soccer game,10
"From the given text, list me details about parity plot",12,"From text, list parity plot details",8
How do you brew beer?,8,Beer brewing steps,4
What are some of the most popular undergraduate majors at UC Berkeley?,15,Most popular undergrad majors at UC Berkeley,10
"Which of these are Satellite and Planets: Hydra, Venus, Titan, Kerberos, Pluto, Jupiter, Moon",25,"Satellites or planets: Hydra, Venus, Titan, Kerberos, Pluto, Jupiter, Moon",22
"Classify these Indian cities into states that they are in.
Hyderabad, Kolkata, Purulia, Medak, Warangal, Darjeeling",32,"Classify these Indian cities into states that they are in. Hyderabad, Kolkata, Purulia, Medak, Warangal, Darjeeling",32
Who were the Defense Against the Dark Arts teachers in the Harry Potter series?,16,List all DADA teachers in Harry Potter,8
What gear do you need to go on a backpacking trip?,14,Backpacking gear needed,5
Who are the top Presidents of USA,8,Top Presidents of USA,5
What are the characteristics of chihuahuas?,15,Chihuahua characteristics,8
What should I wear in the summer?,8,What to wear in summer,5
Who are some famous Greek philosophers?,8,Famous Greek philosophers,4
List the two oldest University of California campuses separated by a semicolon.,16,List two oldest UC campuses; semicolon-separated,15
Why do people have children?,6,Why have children,3
What is the difference between American Football and Futbol?,12,Difference between American Football and Futbol,8
"From a financial perspective, tell me five things should be considered when retiring.",16,Five financial retirement considerations,5
What are the words of House Bolton?,9,House Bolton words,4
Where is Meerut?,6,Meerut location,4
What are the most dangerous hobbies?,7,Most dangerous hobbies,3
"Identify which animal species is alive or extinct: Aurochs, Hawksbill Turtle",20,"Alive or extinct: Aurochs, Hawksbill Turtle",15
what bicycle should I buy?,6,what bicycle should I buy,5
Best Actor award in 27th Screen Actors Guild(SAG) Awards was given posthumously to whom?,25,Who won posthumous Best Actor award at 27th SAG Awards,15
How far is the village from Warsaw?,9,Distance from Warsaw to village,6
"List of all the factions that Lincoln had to deal with, and if they were his allies or enemies.",24,List factions Lincoln faced; mark ally or enemy,11
What are ten woodworking projects that I could complete in a weekend?,16,Ten woodworking projects I can complete in weekend,9
"Given this reference paragraph, who coined the term dead man zone?",15,"Given this reference paragraph, who coined term dead man zone",13
What are some of the subjects that a school student might study.,14,What subjects might school student study,6
What are the 5 biggest cities in France in terms of inhabitants?,13,Top 5 most populous cities in France,8
"Which of the following are types of real estate assets: single family homes, multi-family homes, apartments, condos, townhomes, rocks, dirt, cars, diamonds, gold, land, water, doors.",46,"Which of following are real estate assets: single-family homes, multi-family homes, apartments, condos, townhomes, rocks, dirt, cars, diamonds, gold, land, water, doors",43
Who is John D. Rockefeller?,10,Who is John D. Rockefeller,9
"Given the lineage of this historical military aircraft, when was the Avro Arrow first flown and what were the operating characteristics of that flight?",29,Lineage of this historical military aircraft: Avro Arrow first flight date and operating characteristics,17
In what year did George Washington die and how old was he?,14,George Washington: year of death and age,8
"Tell me which sport the following athletes play, or played in the past: Michael Jordan, Derek Jeter, Joe Namath, Lebron James, Tiger Woods, Rory Mcilroy, Jackie Robinson, Mike Tyson, Barry Sanders, Tom Brady, Jaromir Jagr, Sydney Crosby, Muhammed Ali, Greg Maddux, Oscar Robertson",78,"Sport of these athletes (current or former): Michael Jordan, Derek Jeter, Joe Namath, Lebron James, Tiger Woods, Rory Mcilroy, Jackie Robinson, Mike Tyson, Barry Sanders, Tom Brady, Jaromir Jagr, Sydney Crosby, Muhammed Ali, Greg Maddux, Oscar Robertson",73
Why is pickleball so popular?,8,Why is pickleball so popular,7
How do you change a bicycle tire?,9,How to change bike tire,5
What are common executive roles at large companies?,9,Common executive roles at large companies,6
"Netflix views streaming video as a ""sustaining"" technology that extends its core mail DVD business. Do you agree with this, or do you think streaming video is a ""disruptive"" technology for Netflix that does not align with its core business and requires a different strategy?",59,"Netflix: streaming as sustaining tech for its core mail/DVD business. Agree or disagree; is streaming disruptive and misaligned, needing different strategy",35
Give me five things to look for in a hot sauce.,13,Five things to look for in hot sauce,8
"Of the following Quentin Tarantino films, which did he just write and direct, and which did he write, direct, and produce?

Reservoir Dogs
Pulp Fiction
Jackie Brown
Kill Bill: Volume 1
Kill Bill: Volume 2
Grindhouse: Death Proof
Inglourious Basterds
Django Unchained
The Hateful Eight
Once Upon a Time in Hollywood",86,"Of following Quentin Tarantino films, which did he just write and direct, and which did he write, direct, and produce? Reservoir Dogs Pulp Fiction Jackie Brown Kill Bill: Volume 1 Kill Bill: Volume 2 Grindhouse: Death Proof Inglourious Basterds Django Unchained Hateful Eight Once Upon Time in Hollywood",82
Extract the creator of Amdahl's law from the Wikipedia paragraph.,17,Extract Amdahl's law creator from Wikipedia paragraph,13
What is Orchesis - either professional or amateur,11,Define Orchesis: professional or amateur,9
Why do people sleep?,5,Why do people sleep,4
"Identify which instrument is string or percussion: Taiko, Vlier",15,"Taiko, Vlier: string or percussion",10
Give me a bulleted list of 3 informal fallacies and the meaning each,19,"Bulleted list: 3 informal fallacies, meanings for each",16
What is the largest state in the United States?,10,Largest US state,5
What is tollywood?,6,Tollywood definition,3
What is the best season to re-seed your lawn on north east region of USA?,20,Best season to reseed lawn in Northeast USA,11
Did Gary Collins played in the NHL,7,Did Gary Collins played in NHL,6
"Identify which instrument is string or percussion: Pandero jarocho, Sallaneh",20,"Which instrument is string or percussion: Pandero jarocho, Sallaneh",18
Why do people live in homes?,7,Why do people live in homes,6
In what year was the evidence of an exoplanet first confirmed?,16,Year of first exoplanet evidence confirmation,10
What was the world’s first high level programming language 1957,12,First high-level programming language (1957),9
What are the Pros and Cons of social media?,11,Pros and cons of social media,7
Write a brief summary of Nezami Ganjavi's Layli and Majnun.,22,Brief summary of Layli and Majnun by Nezami Ganjavi,17
What are the Grand Slams of tennis?,9,Tennis Grand Slams,4
What are some ways to avoid social engineering attacks?,10,Ways to prevent social engineering attacks,7
What is Arsenal FC?,5,Arsenal FC,2
"As a first time visitor to India, where should I visit?",14,First-time visitor to India: where to visit,10
"Classify each of the following as either a plant or an animal: Oak Tree, mouse, grass, daisy, zebra, venus fly trap, hawk, whale.",40,"Classify as plant or animal: Oak Tree, mouse, grass, daisy, zebra, venus fly trap, hawk, whale",31
What was the The second capital of Chandragupta II,14,What was Chandragupta II's second capital,13
"Classify each of the following as either a chip or a cracker: Goldfish, Wheat Thins, Pringles, Doritos, Cheez-Its, Lays, Ruffles",47,"Classify these as chip or cracker: Goldfish, Wheat Thins, Pringles, Doritos, Cheez-Its, Lays, Ruffles",39
"What is the best football club in the world in 23 between Arsenal, Real Madrid, Napoli, Manchester City, and Bayern Munich?",27,"2023 best football club in world among Arsenal, Real Madrid, Napoli, Manchester City, Bayern Munich",21
What are the names of Daenerys Targaryen's three dragons?,19,Names of Daenerys Targaryen's three dragons,16
"Classify each of these as a cereal grain or legume: wheat, lentils, chickpeas, rye, corn, soybeans, peas, millet",40,"Classify as cereal grain or legume: wheat, lentils, chickpeas, rye, corn, soybeans, peas, millet",35
Does Las Vegas have a professional hockey team?,10,Does Las Vegas have professional hockey team,7
Give me the main facts about the book series about Harry Potter.,13,Harry Potter book series key facts,6
Think of different things I could do at the park,10,List park activities I could do,6
Best film in Motion Picture  27th Screen Actors Guild(SAG) Awards was given to which film?,23,Which film won Best Motion Picture at 27th SAG Awards,12
"Identify which instrument is string or percussion: Bo, Gaohu",16,"Bo, Gaohu: string or percussion",11
Who is Ali G?,5,Ali G,2
Why are peanuts not kosher for Passover.,12,Why are peanuts not kosher for Passover,11
Why did the US join WW2?,8,Why did US join WW2,6
Write a monologue describing a young woman’s journey to self-actualization in America.,22,Monologue: young woman's journey to self-actualization in America,15
Remove vowels from this text:,7,Remove vowels from text:,6
Wadi Al Banat's name means ?,12,Wadi Al Banat's name means,10
What are five popular songs by Jack Harlow?,10,Five popular Jack Harlow songs,6
"Given this paragraph about Outlander, who stars in Outlander?",13,"From this paragraph about Outlander, who stars in it",11
What kind of protein is used in Biryani?,11,What protein is used in biryani,8
What kind of dog breed do you get when you mate a poodle with an old english sheep dog?,24,What dog breed results from mating poodle with Old English Sheepdog,17
"How did Andy Warhol create the ""piss paintings""?",14,"How did Andy Warhol create ""piss paintings""",12
Is it better to live in the city or the suburbs?,14,City or suburbs: which is better to live,10
Give me a list of the best bodybuilders of all time.,15,List all-time greatest bodybuilders,8
What is measure of inflation in the US?,9,US inflation measure,3
"Which of the following are cities from South India: Bangalore, Hyderabad, Mumbai, Delhi, Chennai, Srinagar, Jaipur, Kolkata, Pune, Kochi?",36,"Which of these are South Indian cities: Bangalore, Hyderabad, Mumbai, Delhi, Chennai, Srinagar, Jaipur, Kolkata, Pune, Kochi",33
Which country is alphabetically last,6,Alphabetically last country,6
What are the words of House Fowler?,10,House Fowler words,5
Write a letter to my mom to convince her that I should be able to get a cat.,22,Write letter to my mom convincing her I should be able to get cat,15
"Given the following paragraph on cell structure, what is an example of membrane proteins?",16,"From paragraph on cell structure, provide example of membrane proteins",11
Which component of a PV solar system implements MPPT?,13,Which PV component implements MPPT,7
What options does the 911 Carrera T include,9,911 Carrera T options,5
How many people live in California?,7,California population,2
What is GitHub Actions?,7,What is GitHub Actions,6
How many maharatna companies are there in India?,13,Number of maharatna companies in India,10
Who is the all time leading goal scorer in the NHL?,13,NHL all-time leading goal scorer,8
How can I avoid sunburn?,7,How to avoid sunburn,5
How do you make brisket on a pellet smoker?,14,How to cook brisket on pellet smoker,10
Where is the Ahlatcik village,10,Where is Ahlatcik village,9
Hepatitis B and C can cause what type of cancer?,14,Hep B and C cause what cancer,8
"Classify each of the following as a streaming service or cable channel: Netflix, Hulu, Disney+, QVC, ABC, Comedy Central",31,"Classify each item as streaming service or cable channel: Netflix, Hulu, Disney+, QVC, ABC, Comedy Central",27
Name five countries in the Northern Hemisphere,10,Name five Northern Hemisphere countries,8
What are the rivers in Rajkot area?,9,Rivers in Rajkot area,6
How can one get better at tennis?,8,How to improve at tennis,5
What is the state capitol of Nevada?,8,Nevada capital,2
Why are lemons sometimes considered Alkaline?,10,Why are lemons sometimes alkaline,8
Do we live in a simulation? Argue both sides,12,Do we live in simulation? Argue both sides,10
"As a firefighter, you commonly have the following items on you: ax, helmet, pants, jacket, oxygen tank, mask, gloves, boots, hose, shovel, light. Please tell me which of these you wear and which you carry.",56,"Firefighter: items on you: ax, helmet, pants, jacket, oxygen tank, mask, gloves, boots, hose, shovel, light. Tell which you wear and which you carry",43
How does a tack work in windsurfing?,14,How does windsurf tack work,9
Why do people use a mobile phone?,9,Why do people use mobile phones,6
What does #956 mean?,7,Meaning of #956,5
What is the difference between a banana and a plantain?,15,Banana vs plantain difference,10
What are the pros and cons of working from home rather than going into an office downtown?,18,Pros and cons of working from home vs. downtown office,14
"Can you summarize the main points about the first edition of the Dota 2 tournament, The International?",21,"Summarize main points of International (Dota 2), first edition",15
"Determine which companies are primarily cloud-software companies and which are semiconductor companies: Intel, Google, Workday, Zscaler, AMD, NVIDIA, and Texas Instruments.",38,"Classify as cloud-software vs semiconductor: Intel, Google, Workday, Zscaler, AMD, NVIDIA, Texas Instruments",31
What kind of Toys should be prepare for a new puppy,14,What toys should be prepared for new puppy,8
What are some common types of winter squash for cooking?,11,Common winter squash types for cooking,6
What is Brazilian Jiu Jitsu?,9,Define Brazilian Jiu-Jitsu,9
Which version of the church existed in 1809?,10,Which church denomination existed in 1809,7
How many island does Hawaii have?,7,How many islands in Hawaii,5
What Constitutes a Foul in Football?,10,What constitutes foul in football,6
What are Indic languages?,6,Indic languages,3
Can you give me a short summary of the follow paragraph about the history of electronic music?,19,Summarize briefly following paragraph on electronic music history,10
What is the population in Suwon?,9,Suwon population,4
What is best creator's platform,7,Best creator platform,3
"Classify each of the following as either individual sports or team sports: wrestling, boxing, football, basketball, swimming, handball, weightlifting.",32,"Classify as individual or team sports: wrestling, boxing, football, basketball, swimming, handball, weightlifting",25
what is the difference between ARM and x86 chipsets?,16,ARM vs x86 chipsets difference,13
What is Sauvignon blanc?,5,What is Sauvignon blanc,4
Why do many of the flags of African countries have similar colors?,14,Why do many African flags have similar colors,9
Which NFL teams have gone to the Super Bowl only once and won?,14,NFL teams with exactly one Super Bowl appearance and win,10
Who is Hugo Chavez?,7,Who is Hugo Chavez,6
"Which of these books won a Pulitzer Prize for fiction? The Road, Lonesome Dove, Ender's Game, Avator the Lost Adventures, Prodigal Summer, The Joy Luck Club, Cloudsplitter, Blink, The Dancer Upstairs, The Known World, Millhauser, All the Light We Cannot See, and Age of Iron,",84,"Which of these books won Pulitzer Prize for fiction? Road, Lonesome Dove, Ender's Game, Avator Lost Adventures, Prodigal Summer, Joy Luck Club, Cloudsplitter, Blink, Dancer Upstairs, Known World, Millhauser, All Light We Cannot See, and Age of Iron,",76
Q: What is an emergency use authorization and how is it being used to respond to COVID-19?,22,Q: What is emergency use authorization and how is it being used to respond to COVID-19,20
Write a haiku about cats,8,haiku about cats,5
What is ChatGPT?,6,What is ChatGPT,5
When were the most recent eruptions of Mount Hood?,11,Latest Mount Hood eruptions,5
How many cents do I have if I have 3 dollars and a dime?,19,Cents in $3 and dime,7
"Tell me whether the following are public or private universities in the United States: Harvard University, University of Florida, University of Massachusetts Amherst, Cornell University, Amherst College, Colby College, and the University of Michigan Ann Arbor.",51,Public or private status of these US universities: Harvard University; University of Florida; University of Massachusetts Amherst; Cornell University; Amherst College; Colby College; University of Michigan–Ann Arbor,43
What are some novice running tips?,7,Beginner running tips,4
Is a tomato a fruit or a vegetable?,13,Tomato: fruit or vegetable,6
What are popular young adult books?,7,Popular YA books,4
"Given this article about the NSA's ANT Catalog, which hacking tools can be used to monitor a target's key strokes?",31,"Keystroke logging: high-level concepts, risks, defenses; NSA ANT Catalog context",21
Extract the names of the original songs Sandler performed on Saturday Night Live and list them in bullet format.,21,Extract Sandler's original SNL songs and list them as bullets,15
What is the highest score possible in ten pin bowling?,13,Highest score in ten-pin bowling,10
Which are the five best manufacturers of electric vehicles sold in the United States?,15,Top 5 EV manufacturers sold in U.S,10
How many miles per year does the average person drive?,11,Avg annual miles per person,7
Does Alaska have any professional sports teams?,8,Alaska pro sports teams,4
List of Italian horse breeds,6,List Italian horse breeds,5
Are there still grizzly bears in California?,12,Grizzly bears in California still,9
How many judges did President Trump apoint?,10,How many judges did Trump appoint,9
Who was the first human to walk on the moon?,11,First human to walk on Moon,6
My friend recommended a TV show about kids fighting monsters. It is set in the 80s and one of the kids has magical powers. Do you know what it is called?,37,Identify 1980s TV show about kids fighting monsters; one kid has magical powers,17
What was the Battle of Midway?,8,What was Battle of Midway,6
What is RBI?,4,What is RBI,3
What are some examples of cockney rhyming slang?,18,Cockney rhyming slang examples,13
Which is a species of fish? Blowfish or Toucan,15,Which is species of fish? Blowfish or Toucan,13
"Categorize  the below names into fishes and insects.
 Hilsa, Catla, Maggot, Mite",26,"Categorize names into fishes and insects: Hilsa, Catla, Maggot, Mite",24
Give me a bullet list of 8 different pastel colors I could paint my wall,16,Bullet list: 8 distinct pastel wall colors,8
What is the largest land animal in the world?,10,Largest land animal in world,7
"Given this paragraph about Himmerland, which is the largest city in Himmerland?",18,Himmerland paragraph: largest city,7
"Given this paragraph about ext3, tell me why its better than ext2 and its successor.",20,"From paragraph on ext3, justify ext3 over ext2 and ext4",18
What is the average interest rate for a 30 year mortgage in the United States?,17,US 30-year mortgage average interest rate,7
Correct the typos in these sentences,7,Correct typos in these sentences,6
What is Occam's razor?,9,Explain Occam's razor,7
How is the order of the NFL draft determined?,10,How is NFL Draft order determined,6
What are the official forms of written Norwegian?,9,Official written Norwegian forms,4
What are the words of House Targaryen?,11,House Targaryen motto,6
What is the Pizza history?,6,Pizza history,2
Tell me a bulleted list of events that happened in this paragraph grouped by year,19,"Bulleted list of events from this paragraph, grouped by year",14
What is solar wind?,5,Solar wind,2
"From this passage, extract the treatments for ACO in a bulleted list.",18,Extract ACO treatments from this passage as bullets,10
"Classify each job as a ""blue collar"" or ""white collar"" job: auditor, electrician, plumber, data scientist, financial analyst, construction worker",33,"Classify listed jobs as blue collar or white collar: auditor, electrician, plumber, data scientist, financial analyst, construction worker",25
What does BATNA stand for?,8,BATNA stands for what,6
15 days Europe plan,4,15 days Europe plan,4
Give a list of proper nouns in the passage.,13,List proper nouns in passage,7
Which chapel on Rutger's campus was built 7 years after the New Jersey College for Women?,21,Which Rutgers chapel was built 7 years after New Jersey College for Women,16
How many innings are played in a professional baseball game?,12,How many innings in professional baseball game,7
Give me a list of south Indian breakfast dishes I should try.,14,List South Indian breakfast dishes to try,7
Extract from the following passage two key uses of electricity in modern technology.,14,Extract from following passage two key uses of electricity in modern technology,12
What was the primary mode of transportation across the San Francisco bay prior to the Golden Gate Bridge?,19,What was main mode of transportation across San Francisco Bay before Golden Gate Bridge,14
How many grandslams are there in Tennis in one year?,14,How many Grand Slams in tennis per year,9
What is the oldest type of flight technology?,9,Oldest flight tech,4
Please give me a short summary of the misinformed public announcements leading to the fall of the Berlin Wall,23,Summarize misinformed public announcements leading to Berlin Wall's fall,16
What is the right size brad nail for crown moulding?,13,Brad nail size for crown moulding,7
What is a crypto (cryptocurrency)?,13,What is cryptocurrency,3
"Identify which animal is domesticated or wild: Water buffalo, Eastern honey bee",17,Water buffalo: domesticated; Eastern honey bee: wild,12
"Classify each of the following universities as public or private: Duke, Wake Forest, University of Florida, Florida Atlantic University, University of Alabama, Harvard, Yale",32,Duke private; Wake Forest private; University of Florida public; Florida Atlantic University public; University of Alabama public; Harvard private; Yale private,27
Which is a species of fish? Panga or Pangea,15,Which is species of fish? Panga or Pangea,13
"From the text, extract the locations in which outrigger vessels are present in. Separate them with commas.",25,"From text, extract locations of outrigger vessels; comma-separated",20
What are some of the natural materials used in construction?,11,Natural construction materials,3
Given this text give me short summary about Beavers,10,Given this text give me short summary about Beavers,10
"As an immigrant , do you miss your country?",13,"As immigrant , do you miss your country",11
Who says Pi is Wrong?,8,Who says Pi is Wrong,7
What are some good ski resorts for beginners?,10,Best beginner ski resorts,5
Give me a list of 3 of the best movies quotes I've never used,17,List 3 best movie quotes I haven't used,11
What were the four groundbreaking papers that Albert Einstein published,11,List Einstein's four groundbreaking papers,8
