original,original_token_count,compressed,compressed_token_count
Given a reference text about the rock band Pink Floy: What was the name of Pink Floyd's last album and when was it released?,31,From Pink Floy reference text: last album name and release date,14
"Identify which car manufacturer is Italian or American: Abarth, Buick",15,Which of Abarth and Buick is Italian or American,11
"Given a reference text about James Henry Richards, tell me what sport he played, where he was born and where he died.",30,"From reference text on James Henry Richards, state his sport, birthplace, and death place",19
Should I charge my phone if the battery is low?,12,Should I charge my phone if battery is low,10
What is the motto of the United States Marine Corps?,11,USMC motto?,4
What's the origin of Dog Day Afternoon?,13,Origin of Dog Day Afternoon,8
"Given the reference text below, who sang ""It's a Great Day to Be Alive""?",23,"Given reference text below, who sang ""It's Great Day to Be Alive""",19
What is the capital of Australia?,7,Capital of Australia?,4
Make a list of pets you would want if you knew they wouldn’t bite you,19,List pets you’d want if they wouldn’t bite,13
Given me a list of the seven most recent Indian prime ministers,14,List seven most recent Indian prime ministers,8
What is radioactive decay?,6,Explain radioactive decay.,5
Why are people afraid of sharks?,8,Why do people fear sharks,6
"Given this paragraph about video game consoles, when was the Nintendo DS released?",17,"From video game consoles paragraph, when was Nintendo DS released",13
What is a tri-state area?,9,Define tri-state area.,7
"Which of the following are noble gases: helium, sodium, neon, oxygen, argon, hydrogen, calcium, magnesium, lithium, boron, krypton, nitrogen, xenon, aluminium, radon.",53,"Noble gases among: helium, sodium, neon, oxygen, argon, hydrogen, calcium, magnesium, lithium, boron, krypton, nitrogen, xenon, aluminium, radon",48
"Which is better, a stock option or Restricted Stock Unit (RSU)?",19,Stock option vs RSU: which is better,11
Why did the Prix Lupin not take place from 1915 to 1918?,15,Why was Prix Lupin not held 1915–1918,12
What are some of the languages spoken in Spain?,10,What languages are spoken in Spain,6
"In the series, A Song of Ice and Fire, who is the founder of House Arryn?",21,Who founded House Arryn in ASOIAF,11
Who was Cleopatra's first husband,12,Who was Cleopatra's first husband,12
"Identify which instrument is string or woodwind: Clavinet, Ocarina",18,"String or woodwind: Clavinet, Ocarina",13
"From this passage, extract the names of the three Amtrak California routes and separate them with commas.",23,"From this passage, extract three Amtrak California routes, separated by commas",17
What does NSAID stand for?,8,NSAID stands for?,6
"What is the answer to life, the universe and everything?",12,"What is answer to life, universe and everything",9
Who is playing in 2023 women’s NCAA championship game?,13,2023 women's NCAA championship game teams,9
"From the passage provided, extract the date when Lincoln was assasinated",17,"From passage, extract Lincoln's assassination date",13
How do I do a headstand?,9,How to do headstand,5
Where are Himayalas located?,10,Where are Himalayas?,6
Who are the pianists that are considered masters in playing Bach's music?,17,Pianists considered masters of Bach,9
"Which of these items are helpful for starting a fire? Matches, kindling, banana, newspaper, water, plastic bath toy, a zippo, wet grass, thin dry stick, and liquid charcoal lighter.",49,"Which of following items are helpful for starting fire? matches, kindling, banana, newspaper, water, plastic bath toy, zippo, wet grass, thin dry stick, liquid charcoal lighter",41
What is supply and demand?,6,Explain supply and demand,4
List some capital cities that begin with the letter S.,11,List capitals starting with S,6
"Classify the following foods as Indian or Japanese: Sushi, Sashimi, Ramen, Naan, Chicken Tikka Masala, Samosa",35,"Classify as Indian or Japanese: Sushi, Sashimi, Ramen, Naan, Chicken Tikka Masala, Samosa",32
"Which of these Disney cartoons were remade as a live action movie? Lion King, Toy Story, Aladdin, Jungle Book, Fox and the Hound, Shrek",41,"Which of these Disney cartoons have live-action remakes: Lion King, Toy Story, Aladdin, Jungle Book, Fox and Hound, Shrek",36
How to make a cup of yummy chai?,12,Yummy chai cup recipe,8
"At the concert last night, identify each of these musicians as singer, drummer, guitarist, or bassist: Steve Harris, Bruce Dickinson, George Lynch, Nicko McBrain, Angus Young",43,"At concert last night, identify each of these musicians as singer, drummer, guitarist, or bassist: Steve Harris, Bruce Dickinson, George Lynch, Nicko McBrain, Angus Young",42
How do you make an old fashioned?,9,Old Fashioned recipe?,6
Why do people use computer mice?,7,Why do people use computer mice,6
"Which movie features the original song, ""City of Stars""?",15,Which film features original song 'City of Stars',13
What is Don’t Starve Together?,9,What is DST?,5
What is the difference between laser cutting and 3D printing?,12,Difference between laser cutting and 3D printing,8
Who founded Amazon?,4,Amazon founder?,3
"Which characters belong to DC or Marvel Universe? Harvey Dent, Wilson Fisk",16,"DC or Marvel: Harvey Dent, Wilson Fisk",11
How is digital switching possible?,6,How is digital switching possible,5
What happens when you bring flammable objects closer to a fire source or extreme heat?,19,Effects of bringing flammable objects near fire or extreme heat,14
"Given this paragraph about Drangajökull, tell me where it's located.",20,Drangajökull paragraph: location?,11
What is gravel biking?,5,What is gravel biking,4
How do you cook the perfect pizza?,8,How to cook perfect pizza,5
What is Autism Spectrum Disorder?,6,ASD definition?,4
"Classify the below Noble prize winners based on the country they are from.
Rabindranath Tagore, Chandrasekhara Venkata Raman, Amartya Kumar Sen, Joseph John Thomson, Ernest Rutherford, Niels Bohr",57,"Classify Noble prize winners by country of origin: Rabindranath Tagore, Chandrasekhara Venkata Raman, Amartya Kumar Sen, Joseph John Thomson, Ernest Rutherford, Niels Bohr",51
What is the first step in teaching someone how to ski?,12,First step in teaching someone to ski,7
What types of problems in government could AI be used to solve,12,What government problems could AI solve,6
Give me some of the most famous characters Marvel Comics has produced from this list.,17,List some of Marvel's most famous characters from this list,12
"Identify which instrument is string or percussion: Sikulu, Sharki",16,"String or percussion: Sikulu, Sharki",11
7 factors led to nokia failure,8,7 factors behind Nokia's failure,7
When is Tax Day not on April 15?,9,When isn't Tax Day April 15,9
Who created Doge Coin and when?,8,Who created Doge Coin and when,7
Why are so many movies and tv shows merely recycled stories from previously successful stories ?,20,Why do many films/TV shows recycle plots from previously successful stories,14
"What does the term ""tulip mania"" mean?",13,Meaning of tulip mania,8
What is RTGS?,6,What is RTGS?,6
Is beauty objective or subjective?,7,Is beauty objective or subjective,6
Which national park is hardest to visit?,8,Hardest national park to visit,6
Who is Warren Buffet?,5,Who is Warren Buffet,4
What is calcium chloride?,6,Calcium chloride?,4
Which is a species of fish? Bream or Cream,12,Fish species: Bream or Cream,7
In 1899 the Eastman company in the USA produced first what,13,In 1899 Eastman company in USA produced first what,11
What is rheological weldability?,11,Rheological weldability?,8
"What are five totally distinct, creative ways to describe the usefulness of an idle mind?",18,"Five totally distinct, creative descriptions of usefulness of idle mind",12
What are some fun board games to play as a family?,13,Fun family board games,4
Best place to visit for a day from Bangalore,10,Best day-trip from Bangalore,6
Were cars used for transportation in the 19th century in King Field?,15,Were cars used for 19th-century transport in King Field,13
"Given this reference text about Gorbachev, tell me whether he was an ally of Yeltsin and Putin.",28,Gorbachev reference: was he ally of Yeltsin and Putin,19
Summarize the effectiveness of anaerobic and aerobic exercises on muscle hypertropy.,20,Summarize anaerobic and aerobic exercise effects on muscle hypertropy,17
"Which of the following words are conjunctions, and which are prepositions: and, between, but, for, in, of, on, or, under, yet",35,"Conjunctions or prepositions: and, between, but, for, in, of, on, or, under, yet",28
Who is Bill Clinton?,5,Who is Bill Clinton,4
How accurate are future weather forecasts?,8,Weather forecast accuracy?,4
"Classify the below places based on the country they belong to.

New Jersey, New York, Kolkata, New Delhi, Ohio, Oklahoma",28,"Classify by country: New Jersey, New York, Kolkata, New Delhi, Ohio, Oklahoma",19
What is Sir Charles Lyell best known for?,10,Sir Charles Lyell: best known for,8
What was the first full-length animated movie that Disney released?,13,Disney's first feature-length animated film,9
Classify each of the Pokémon characters into different types.,11,Classify each Pokémon character by its type(s),11
Who invented Boltzmann Machines?,9,Boltzmann machines inventor?,7
What is the most invaded country in history?,10,Most invaded country in history,6
What is Michael Pollan's top bestselling book?,12,Michael Pollan's best-selling book,9
Give me the steps to purchase a new pair of shoes.,13,Steps to buy new pair of shoes,8
What is magic the gathering?,6,What is magic gathering,4
Please write a socia media post about why Leo Messi is the best soccer player in the world.,24,Write socia media post about why Leo Messi is best soccer player in world,18
"Given this paragraph about magnesium, what is the atomic number of magnesium?",15,"From this magnesium paragraph, what's magnesium's atomic number",14
"Classify the movies based on their genre.
The Pink Panther, Die Hard, No time to Die, Annabelle",25,Classify genres: Pink Panther; Die Hard; No Time to Die; Annabelle,19
"Write a paragraph highlighting the rise of cyber crime, and the vulnerability of people  who are unaware of the risks (or careless), and end the note with a single line on suggested steps.",41,"Write paragraph on rise of cybercrime and vulnerability of unaware or careless, ending with single line of suggested steps",23
"Extract ways to observe a black hole. Separate them with a ""-"" in multiple lines.",22,List ways to observe black hole; separate with '-' on separate lines,16
What is Brdinje,5,What is Brdinje,5
"Identify which animal species is alive or extinct: Simbakubwa, Arctic Wolf",20,"Alive or extinct: Simbakubwa, Arctic Wolf",15
What did Jamaican-American author Nicola Yoon major in college for her graduate degree?,20,What did Jamaican-American author Nicola Yoon major in for her graduate degree,18
"Given a reference text about magnetism, tell me the definition of magnetism and how magnetic materials are classified.",25,"From magnetism reference, provide magnetism's definition and magnetic material classification",17
What would Bruce lee do if he is alive?,13,What would Bruce lee do if he is alive,12
What is the difference between Montessori and Regular schooling?,11,Montessori vs traditional schooling: differences,9
What are some examples of low-flow fixtures?,10,Low-flow fixture examples?,6
What is intelligence?,4,Intelligence?,4
Who was the prophet Muhammad (pbuh)?,11,Who was Prophet Muhammad (pbuh),9
What is the best way to tune a snare drum?,15,Best snare drum tuning method,8
Top 3 Hindi Movie,4,Top 3 Hindi Movie,4
When does daylight savings start and end in Sydney?,10,DST start/end in Sydney,7
Where are the British Virgin Islands (BVI) and which islands are a part of the BVI?,22,Where are British Virgin Islands (BVI) located and which islands comprise BVI,16
What is cryptocurrency?,4,Define cryptocurrency.,4
Write a creative ending scene for a thriller movie,11,Creative ending scene for thriller movie,6
"Which dog is the hero of the 1925 serum rum to Nome, Alaska?",18,Balto,2
"Given the paragraph around Star Trek starships, which is the fastest.",15,Star Trek starships paragraph: which is fastest,10
Define unemployment and how it is expressed in most countries.,12,Define unemployment and its expression in most countries,9
Who won six consecutive Wimbledon titles in the 1980s,10,Who won six consecutive Wimbledon titles in 1980s,9
Who are the Green Bay Packers and who owns them?,12,Who are Green Bay Packers and who owns them,10
What are the biggest marathons?,7,Biggest marathons?,6
What is the city of Portsmouth in England famous for?,11,"What is Portsmouth, England famous for",7
"Identify which instrument is string or percussion: Pakhavaj, Mejoranera",20,"Identify which instrument is string or percussion: Pakhavaj, Mejoranera",20
Did the dome last as long as it was designed for?,12,Did dome last as long as designed,7
When is cherry blossom season in Japan?,8,When is cherry blossom season in Japan,7
Why is backcountry skiing fun?,7,Backcountry skiing fun reasons,5
"Given this reference text, what was John Dalberg-Acton's most famous pronouncement, and to whom did he make it?",29,"From this reference text, what was John Dalberg-Acton's famous pronouncement and its recipient",21
Name some famous experimental electronic music artists from the 2000s,11,Famous experimental electronic music artists of 2000s,8
Tell me whether these are countries or continents,9,Are these countries or continents,6
How do I keep great oral health?,8,How to maintain optimal oral health,6
Is an apple a fruit or a vegetable,11,Apple: fruit or vegetable,5
Name some of the movies where Johnson acted in and the years in which the movies were released.,20,List films Johnson acted in and their release years,10
Tell me about the 1999 UEFA champions league final?,13,1999 UEFA Champions League Final overview,8
Who was the Apostle Paul?,6,Who was Apostle Paul,4
Give me four ideas for my 7 year old daughters birthday party,12,4 ideas for my 7-year-old daughter's birthday party,14
What is the name of the season that begins in the summer and ends in the winter?,18,Name season that begins in summer and ends in winter,10
Why is baseball called America's Pastime?,10,Why is baseball America's Pastime,8
"Classify each one of the following as bird or fish - sparrow, whale, tuna, parrot.",24,"Classify sparrow, whale, tuna, parrot as bird or fish",16
"Based on the paragraph below, name some authors outside of Latin America who employ magical realism in their work.",23,"From paragraph below, name authors outside Latin America using magical realism",14
How to make a dish thicken fast without adding cream or starch?,16,How to quickly thicken dish without cream or starch,11
What is a t-style guitar?,10,Explain t-style guitar.,7
What's the best piece of advice you ever received?,12,What's best piece of advice you ever received,10
Write a description of your favorite place to visit in San Francisco and why you like it so much.,21,Describe your favorite SF place to visit and why you like it,14
Give me a list of the major food allergens I should be aware of when cooking.,20,List major food allergens to be aware of when cooking,12
What are some of the reasons people like to visit Brazil?,12,Some reasons people like visiting Brazil,6
Who are the tallest people in the world?,10,Who are world's tallest people,8
Who were the ten best baseball players in the history of the Boston Red Sox?,18,Top 10 all-time Boston Red Sox players,10
"Classify the below based on the mode of transportation.
bus, car, taxi, train, helicopter, boat, ship",25,"land: bus, car, taxi, train air: helicopter water: boat, ship",17
Why is my car making a funny noise?,10,Why is my car making funny noise,7
"Tell me which Pokemon are flying or not flying: Pidgeot, Fearow, Charizard, Ditto, Eevee, Chansey",36,"Tell me which Pokemon are flying or not flying: Pidgeot, Fearow, Charizard, Ditto, Eevee, Chansey",36
"Classify these vehicles by which go in the water or on land: dune buggy, cruise ship, pirate ship, bulldozer, submarine, sailboat, truck, car, ATV",42,"Classify vehicles as water-going or land-going: dune buggy, cruise ship, pirate ship, bulldozer, submarine, sailboat, truck, car, ATV",40
What is celiac disease?,8,What is celiac disease,7
Who is Oren Middlebrook,6,Who is Oren Middlebrook,6
What is skydiving?,6,What is skydiving?,6
"From the passage provided, extract the month and year when Cassandra was released on Google code",21,"From passage, extract Cassandra release month and year on Google Code",16
Is toastmasters a good organization to join?,12,Is toastmasters good organization to join,9
Extract the difference between Gross Disposable income from Disposable Income,14,Difference: Gross Disposable Income vs Disposable Income,14
Describe a trip through the United States for a 14 day vacation in a rental car,20,Describe 14-day U.S. road trip by rental car,14
What are fun activities to do with a toddler in Los Angeles?,14,Fun toddler activities in Los Angeles,6
When was the first newspaper published in the United States?,11,When was first U.S. newspaper published,9
How do I fix the engine of my car?,10,How to fix car engine,5
Who was Yogi Bear named after?,9,Yogi Bear named after whom,7
"Given a reference text about multiple myeloma, tell me the risk factors and the cause of the disease.",26,"From reference text on multiple myeloma, list risk factors and cause",17
What are the principles of Judo's philosophy called and what do they imply?,19,Judo philosophy principles: names and implications,9
What are some best practices to prepare biryani,10,Best practices for preparing biryani,8
Write a story about an ice fishing trip in Minnesota. Make sure to include what you need for a successful trip.,26,Write Minnesota ice-fishing trip story; include essentials for successful trip,16
Give me some tips on how to train for a marathon.,13,Marathon training tips.,4
What is the 2nd amendment of the US constitution? Is it misunderstood?,21,What's 2nd Amendment of US Constitution? Is it misunderstood,19
Give me five ways in which I can make my homebrew beer more interesting,16,Five ways to make my homebrew beer more interesting,11
"Write a beautiful bedtime 5 paragraph story for a 4 years old. The outline of the story is: a small boy, named Jonny goes on an adventure with his family.",39,"Beautiful 5-paragraph bedtime story for 4-year-old about Jonny, small boy, going on adventure with his family",25
Give me a brief history of the construction of Walt Disney World,13,Brief history of Walt Disney World construction,7
Write an email to my friend who lives in Minneapolis to help convince them to move to Austin Texas.,20,Write email to my friend in Minneapolis persuading them to move to Austin Texas,19
Is 95 degrees Fahrenheit considered to be hot weather?,13,Is 95°F hot weather,7
Where were the sunspots first observed?,10,Where were sunspots first observed,8
Which is a species of fish? American sole or American dream,13,Which is species of fish? American sole or American dream,11
What do I use a pressure washer for?,10,Pressure washer uses?,4
Based on the following passage what is the more dominant force in the universe?,15,"Based on passage, which force dominates universe",9
What does the phrase “ignorance is bliss” mean?,13,Meaning of 'ignorance is bliss',10
What are some examples of diseconomies of scale?,12,Examples of diseconomies of scale,8
Name five capital cities in Europe.,7,List 5 European capitals,5
Which movie won the Best Picture award at 95th Academy Awards?,13,Best Picture winner at 95th Academy Awards,8
What are the functions of the 3 branches of the United States government.,14,Functions of 3 branches of United States government,9
What is the PGA Championship?,7,PGA Championship definition?,5
why is Mahatma Gandhi loved by everyone?,11,why is Mahatma Gandhi loved by everyone,10
What is the best way to travel from Philadelphia to Raleigh?,12,Best way to travel Philadelphia to Raleigh,7
What is the best seasoning to use on steak?,11,Best seasoning for steak,5
Extract from the text the name of the state where Beaver Creek is located,14,"From text, extract Beaver Creek's state name",10
"Identify which instrument is string or woodwind: Stritch, Zhu",16,"Classify Stritch, Zhu as string or woodwind",13
Name some famous teams in the Premier League,8,Famous Premier League teams,4
"Identify which instrument is string or percussion: Sand blocks, Gadulka",17,"String or percussion: sand blocks, gadulka",14
Make me a workout playlist for the gym,9,Create gym workout playlist,4
Who is Phil Murphy?,5,Who is Phil Murphy,4
What are some interesting places to visit in Canada as a tourist?,14,List interesting tourist places in Canada,6
Did automobiles exist prior to the invention of the ICE (internal combustion engine)?,20,Did automobiles exist before invention of ICE,9
Why Men love whisky,5,Why Men love whisky,5
"Classify each of the following as something used for drinking or eating: cup, bottle, plate, bowl, fork, spoon, can",28,"Classify following as drinking or eating: cup, bottle, plate, bowl, fork, spoon, can",22
What are a lot of different options for traveling across New York City?,15,Many NYC travel options,4
Where is the best place to see the northern lights?,11,Best places to see Northern Lights,7
Can you give a list of novels written by Nancy Kress?,15,List Nancy Kress novels,6
Is a manned mission to Mars worth the cost ?,14,Is manned Mars mission worth cost,8
in which city was the first public opera house opened,10,Where did first public opera house open,7
What are some of the best books written by Indian Authors?,13,Best books by Indian authors,5
"I bought two bottles of 2L coca-cola when they were on special, but when I checked my receipt, I was charged the full price! Please contact me on 0410787999 or iratecustomer@hotmail.com to discuss a refund!",56,Two 2L Coca-Cola bottles on sale were charged full price. Please contact me at 0410787999 or iratecustomer@hotmail.com to discuss refund,37
Why is the Republican Party against gun control legislation?,10,Why does GOP oppose gun-control legislation,9
Why Bangalore is so popular,5,Why Bangalore is so popular,5
"Identify which instrument is string or percussion: Repique, Neola",15,"String or percussion: Repique, Neola",10
List the name of the games in Prince of Persia series along with their publication year. List the results in comma separated format.,31,"List Prince of Persia games with release year, comma-separated",21
Name some of the bravolebrities from The Real Housewives of Potomac,19,Name some BRAVOLEBS from Real Housewives of Potomac,16
"Identify which instrument is string or woodwind: Agiarut, Piccolo",17,Classify Agiarut and Piccolo as string or woodwind,14
Give me a checklist of 5 items of furniture I should buy for my new living room,18,Checklist: 5 living-room furniture items to buy for new living room,15
"List down some key points about the song ""El Rey"" from the given text",17,Key points for 'El Rey' from given text,12
Cyrus Mistry was the  6th Chairman of Tata Sons between between which years,18,Cyrus Mistry was 6th Chairman of Tata Sons between which years,16
"Given this paragraph, what key crops were not available in Europe before the colonization of the New World?",21,"Given this paragraph, what key crops were not available in Europe before colonization of New World",18
write short essay on Neil Armstrong experience on moon,9,write short essay on Neil Armstrong experience on moon,9
When was the french revolution,5,When was french revolution,4
How does UIUC relate to PayPal?,9,UIUC PayPal relation?,6
describe the important event of Dravid's life in chronological order,14,describe important event of Dravid's life in chronological order,13
Do aliens exist?,5,Do aliens exist?,5
"per the context given, how would illiterate politicians able to vote?",17,"Given context, how could illiterate politicians vote",11
What is Ralph Baer famous for?,8,Ralph Baer famous for,5
What is the origin of orange wine?,8,Origin of orange wine,4
Write a story about a man who finds a magic lamp that has a genie inside. The genie should grant him wishes and the story should conclude with a tragic ending.,40,Write story about man who finds magic lamp containing genie; genie grants him wishes; story ends in tragedy,23
"Based on the following passage, what are the environmental consequences of fracking?",16,"From following passage, what are environmental consequences of fracking",12
Who is the first astronaut to get into space in China?,12,Who was China's first astronaut in space,9
List five titles by Kevin Kwan.,8,List five Kevin Kwan titles,6
What is a crypto (cryptocurrency)?,13,What is cryptocurrency?,4
"Given a reference text about Shivaji, tell me when they were born, when they died, what their most notable accomplishment and what people called them post-death.",37,"Shivaji reference text: birth date, death date, main achievement, posthumous epithet",21
Which award did Rustam win and in what year was it awarded?,15,"Which award did Rustam win, and in what year",12
What are the only two countries in South America that do not touch Brazil?,15,Which two South American countries do not border Brazil,9
What kind of animal is the Iolaus crawshayi,16,What animal is Iolaus crawshayi,13
"Tell me whether each of these wine regions is in California or Italy: Napa, Sonoma, Healdsburg, Tuscany, Veneto",32,"CA or Italy: Napa, Sonoma, Healdsburg, Tuscany, Veneto",22
how important is workflow integration in obtaining value from AI?,12,how important is workflow integration in obtaining value from AI,11
"From the passage provided, extract the names of the sisters of Jawaharlal Nehru. Separate them with a comma.",32,"From passage, list Jawaharlal Nehru's sisters, comma-separated",25
What is some advice for planning an Alaskan vacation?,11,Alaskan vacation planning advice,5
Give me a summary of how the citric acid cycle works,13,Summarize citric acid cycle,7
What is Rio de Janeiro famous for?,9,Rio de Janeiro famous for,6
What are the most airplanes to learn how to fly?,12,Best airplanes for learning to fly,7
"Based on this reference text about bull sharks, why can bull sharks live in both salt and fresh water?",23,"From this bull shark reference text, why can bull sharks live in salt and fresh water",18
Why do so many people say it is special to be a grandparent?,16,Why is being grandparent special,6
"Identify which instrument is string or percussion: Ratchet, Hasapi",16,Classify Ratchet and Hasapi as string or percussion,13
"Given this reference text, tell me what the foundational BJJ concept was",16,"From reference text, what's foundational BJJ concept",13
In which years did the Women's Australian cricket team win the world cup,15,In which years did Women's Australian cricket team win world cup,13
Summarize the pros and cons of working from home,11,Summarize pros and cons of remote work,9
In what year did Endless Nights come out?,11,Endless Nights release year,6
Name five Shakespeare plays or dramas.,8,Name 5 Shakespeare plays,4
What are the three original citrus fruits?,8,What are three original citrus fruits,6
How can I support a loved one going through anxiety and depression?,14,Ways to support loved one with anxiety and depression,10
Which countries are the world's largest or biggest manufacturer in terms of $ value?,17,Which countries are world's largest manufacturers by value (USD),13
As per WHO Marburg Virus Disease(MVD) is a severe often fatal haemorrhagic fever it was earlier known as,31,As per WHO Marburg Virus Disease(MVD) is severe often fatal haemorrhagic fever it was earlier known as,29
Who wrote the Man in the Iron Mask,8,Who wrote Man in Iron Mask,6
Who is Daniel Ricciardo?,8,Who is Daniel Ricciardo,7
"What is the difference between Hunter, Jumper, and Equitation horseback riding?",17,"Difference between Hunter, Jumper, and Equitation riding",11
What is the best-selling single worldwide?,9,Worldwide best-selling single?,6
What are the 3 branches of science?,8,3 branches of science,4
What new economies developed because of the anti-slave treaties?,14,Which economies emerged from anti-slavery treaties,10
What are regarded as some of the best hip-hop albums of all time?,17,Best hip-hop albums of all time,8
From the passage identify the various products and services which are provided by HDFC Bank including the digital products. Display the results in comma separated format.,32,"From passage, list HDFC Bank's products and services, including digital products, in comma-separated format",28
Give me a list of top five tourist attractions to visit in Europe,14,Top 5 European tourist attractions,5
What size of snowboard should I use?,8,What snowboard size should I use,6
Is FreeBSD a Linux distribution?,10,Is FreeBSD Linux?,7
How does a human do arithmetic calculation as fast as a calculator?,19,How do humans perform arithmetic as fast as calculator,13
When was rolling luggage invented?,6,When was rolling luggage invented,5
how to use coffee mug other than drinking,9,Uses for coffee mug besides drinking,9
Which NFL teams have gone to the Super Bowl at least once but have never won a Super Bowl title?,22,NFL teams that reached Super Bowl but never won,9
What are the three highest peaks in the UK?,11,List three highest peaks in UK,7
"Since it began, how many years has FIVB not been held?",15,"Since inception, how many years has FIVB not been held",14
What is cloud computing?,5,Explain cloud computing.,4
Why is Bangalore the best place to live in?,10,Why is Bangalore best place to live,7
Steps to apply LLM & Other Law Programs,12,Steps to apply LLM & Other Law Programs,12
"Create a 5 day itinerary for a trip to Japan. Include visits to famous locations in Japan, and include a day-by-day breakdown of some activities to do and sites to visit.",41,5-day Japan itinerary; include famous sites; day-by-day breakdown of activities and sites to visit,21
Name three schools that are part of the university of London,11,UCL; King's College London; SOAS,11
why do dogs like humans?,6,why do dogs like humans,5
Tell me about the life and career of Alison Calder,12,Alison Calder biography,5
List down some facts regarding the Republican Party of Arkansas from given text,13,List down some facts regarding Republican Party of Arkansas from given text,12
Why do people move/sway during music?,10,Why do people move/sway during music,9
Were masks effective in stopping the spread of Covid 19?,14,Did masks reduce COVID-19 transmission,9
How do you cook spare ribs on a pellet smoker?,14,How to cook spare ribs on pellet smoker,10
"Classify each car as a Ford or Tesla: Model Y, F150, Focus, Fiesta, Model X",27,Model Y Tesla; F150 Ford; Focus Ford; Fiesta Ford; Model X Tesla,21
Where is Tiger Woods from?,7,Tiger Woods from where,5
Please give me a short bulleted list of the principal fields of engineering,16,Bullet list: principal engineering fields,6
"Classify each of the following activities as ""active"" or ""lazy"": Running, jogging, biking, watching TV, drinking beer, laying down, lifting weights",39,"Classify activities as active or lazy: Running, jogging, biking, watching TV, drinking beer, laying down, lifting weights",30
What are the top 10 US ski vacation destinations?,10,Top 10 US ski vacation destinations,6
What is Microsoft copilot,5,What is Microsoft copilot,5
Write a letter to your Mom and Dad asking whether or not I can study abroad during my Junior year in college.,24,Write letter to Mom and Dad asking if I can study abroad during my junior year of college,19
Is it possible to perform in local theater while also pursuing a demanding career?,18,Possible to perform in local theater while pursuing demanding career,11
Which dynasties rules in Morocco ?,10,Which dynasties ruled Morocco,8
"Tell me whether these styles are related to facial hair or head hair: mohawk, buzz cut, goatee, soul patch, mustache, chin strap, bowl cut",36,"Head hair: mohawk, buzz cut, bowl cut; Facial hair: goatee, soul patch, mustache, chin strap",29
What animals can I see on safari?,8,Safari animals?,3
How Long can a Goalkeeper Hold the Ball with his Hands?,15,How long can goalkeeper hold ball with hands,9
What is it like to live in Miami for someone moving from California?,14,Miami living for California transplant: what to expect,9
"Classify the following as smooth or sharp: broken glass, thorn, leather, baby skin, cactus, mirror",27,"Classify as smooth or sharp: broken glass, thorn, leather, baby skin, cactus, mirror",25
Who are the most famous cricket players of all time?,11,Most famous cricketers of all time,7
What is the spin of a quark?,10,Quark spin?,4
Where is the Burg Lockenhaus located,8,Where is Burg Lockenhaus located,7
Tell me a story about how the little kitten was rescued from a heater vent. The story should include how the kitten was bottle fed and only four days old with the umbilical cord still attached,42,Tell story: kitten rescued from heater vent; include bottle feeding; four days old; umbilical cord still attached,24
What device is used to resolve combat outcomes in Quest of the Ancients?,16,What device resolves combat outcomes in Quest of Ancients,12
What is the popular TV show called where they send a number of people to a deserted island and they have to vote people off of the tribe?,33,Show name: contestants on deserted island vote tribe members off,14
How did Legos get their name?,8,LEGO name origin?,4
What are the key components to landscaping?,8,Key landscaping components?,4
What are the northern lights?,6,What are northern lights,4
Who is the company ABB,6,Who is ABB?,5
What is the universe made of?,7,Universe made of what,4
What type of creatures undergo Metamorphosis?,11,Which organisms undergo metamorphosis,9
What is the best way to define a data&AI strategy?,14,Best way to define data&AI strategy,8
What is Ancient Girl's Frame,7,What is Ancient Girl's Frame,7
In which years did the Women's New Zealand cricket team win the world cup,16,Which years did New Zealand women's cricket team win World Cup,13
"Identify which animal is domesticated or wild: Horse, Red deer",15,"Domesticated or wild: Horse, Red deer",10
Which is a species of fish? Herring or Hearing,12,Which is species of fish? Herring or Hearing,10
Write a paragraph of a blog post describing the appeal of a weekend stay at Blue Ridge Parkway?,24,Write blog paragraph describing appeal of weekend stay at Blue Ridge Parkway,14
"Identify which animal species is alive or extinct: Hallucigenia, Fin Whale",19,"Alive or extinct: Hallucigenia, Fin Whale",14
How can I ensure exactly-once delivery when reading data from Kafka with Spark?,18,How to achieve exactly-once reads from Kafka in Spark,14
Which of Dany's dragons is the largest?,12,Which of Dany's dragons is largest,10
Which company produces Hibiki Whisky?,9,Who makes Hibiki Whisky,7
Give me a list of five films made in the 1950s whose stars are still alive,19,List five 1950s films with living stars,8
"If there are only two genera remaining, what happened to the other 24?",15,"If 2 genera remain, what happened to other 24",10
"Tell me whether each airline is American or European: British Airways, United Airlines, Southwest Airlines, Jet Blue, Easy Jet, Ryan Air",27,"Are these American or European airlines: British Airways, United Airlines, Southwest Airlines, Jet Blue, Easy Jet, Ryan Air",24
What are the words of House Ambrose?,10,House Ambrose motto?,6
What types of political organizations did pre-colonial Africa have?,13,Types of political organizations in pre-colonial Africa,11
"From the passage, list the most influential works of Rumi. Separate them with a comma.",24,"From passage, list Rumi's most influential works, comma-separated",21
What was the first Pink Floyd album,7,Pink Floyd first album,4
What is the biggest company in the world in terms of market capitlization?,17,Largest company by market cap,7
where does the word dynamite come from?,11,Origin of dynamite?,7
Who directed the Lost in Translation movie?,8,Who directed Lost in Translation,5
List some TV shows that Canadian actor William B. Davis has been in.,15,List TV shows featuring Canadian actor William B. Davis,10
